Index,Release Note,Release Note With Abstraction
83,"
Merge branch 'master' of https://github.com/nestjs/graphql (da46dc8)
feat(schema-gen): add scalars param to graphql schema generator (5bd2dad)
feat(schema-gen): add scalars param to graphql schema generator (15fb7ba)
Merge branch 'master' of https://github.com/nestjs/graphql (1942fe2)
refactor(): move conditions in scalars explorer (116ae0e)
Merge pull request #783 from nestjs/feat/add-complexity (e804997)
Merge pull request #785 from nestjs/feat/def-generator-options (839630c)
Merge branch 'kaorun343-fix/custom-scalar' (7d58f5e)
fix(): change description to an optional property (scalar) (c5be8ee)
Merge branch 'fix/custom-scalar' of https://github.com/kaorun343/graphql into kaorun343-fix/custom-scalar (39ac49a)
Merge pull request #678 from ludorenzetti/feat-federation-extend-typedefs (65e4a3d)
feat(): add additional definitions generator options (6e41314)
Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d)
chore(deps): update nest monorepo to v7.0.8 (cce949b)
feat(): add complexity feature (ee0f8e9)
chore(deps): update dependency graphql-tools to v5 (5cab277)
fix(): custom-scalar.interface.ts (0fe9f38)
fix(): set argument type of parse-literal (a41d05b)
fix(): update custom-scalar for strict mode (f97573d)
feat(federation): add support for graphql federation typedefs (e5fdeac)
","Merge branch 'master' of link (da46dc8)
feat(schema-gen): add scalars param to graphql schema generator (5bd2dad)
feat(schema-gen): add scalars param to graphql schema generator (15fb7ba)
Merge branch 'master' of link (1942fe2)
refactor(): move conditions in scalars explorer (116ae0e)
Merge pull request #783 from nestjs/feat/add-complexity (e804997)
Merge pull request #785 from nestjs/feat/def-generator-options (839630c)
Merge branch 'kaorun343-fix/custom-scalar' (7d58f5e)
fix(): change description to an optional property (scalar) (c5be8ee)
Merge branch 'fix/custom-scalar' of link into kaorun343-fix/custom-scalar (39ac49a)
Merge pull request #678 from ludorenzetti/feat-federation-extend-typedefs (65e4a3d)
feat(): add additional definitions generator options (6e41314)
Merge pull request #784 from nestjs/renovate/nest-monorepo (61d174d)
chore(deps): update nest monorepo to v7.0.8 (cce949b)
feat(): add complexity feature (ee0f8e9)
chore(deps): update dependency graphql-tools to v5 (5cab277)
fix(): custom-scalar.interface.ts (0fe9f38)
fix(): set argument type of parse-literal (a41d05b)
fix(): update custom-scalar for strict mode (f97573d)
feat(federation): add support for graphql federation typedefs (e5fdeac)"
84,"
fix(mapped-types): eagarly load type function (cd66002)
",fix(mapped-types): eagarly load type function (cd66002)
85,"
Merge branch 'master' of https://github.com/nestjs/graphql (0f42d26)
fix(plugin): fix adding imports per file (bfc2c64)
Merge pull request #758 from nestjs/renovate/apollo-federation-0.x (bfb2ef1)
chore(deps): update dependency @apollo/federation to v0.14.0 (1ff415f)
Merge pull request #759 from nestjs/renovate/apollo-gateway-0.x (2e26ea2)
chore(deps): update dependency @apollo/gateway to v0.14.0 (81efa9b)
","Merge branch 'master' of link (0f42d26)
fix(plugin): fix adding imports per file (bfc2c64)
Merge pull request #758 from nestjs/renovate/apollo-federation-0.x (bfb2ef1)
chore(deps): update dependency @apollo/federation to v0.14.0 (1ff415f)
Merge pull request #759 from nestjs/renovate/apollo-gateway-0.x (2e26ea2)
chore(deps): update dependency @apollo/gateway to v0.14.0 (81efa9b)"
86,"
fix(plugin): fallback to an empty object (metadata) (a157e28)
Merge branch 'master' of https://github.com/nestjs/graphql (4b1c791)
fix(): fix directives on parent classes (01013f3)
chore(deps): update typescript-eslint monorepo to v2.28.0 (c47d01b)
chore(deps): update dependency @types/node-fetch to v2.5.6 (0d0004e)
chore(deps): update dependency husky to v4.2.5 (8686fcb)
chore(deps): update dependency husky to v4.2.4 (58157ad)
chore(deps): update dependency lint-staged to v10.1.3 (68a6707)
chore(deps): update dependency jest to v25.3.0 (7267ab4)
chore(deps): update apollo graphql packages to v2.12.0 (0b3bbc7)
chore(deps): update typescript-eslint monorepo to v2.27.0 (e805077)
chore(deps): update dependency prettier to v2.0.4 (180f912)
chore(deps): update dependency prettier to v2.0.3 (d0fc774)
","fix(plugin): fallback to an empty object (metadata) (a157e28)
Merge branch 'master' of link (4b1c791)
fix(): fix directives on parent classes (01013f3)
chore(deps): update typescript-eslint monorepo to v2.28.0 (c47d01b)
chore(deps): update dependency @types/node-fetch to v2.5.6 (0d0004e)
chore(deps): update dependency husky to v4.2.5 (8686fcb)
chore(deps): update dependency husky to v4.2.4 (58157ad)
chore(deps): update dependency lint-staged to v10.1.3 (68a6707)
chore(deps): update dependency jest to v25.3.0 (7267ab4)
chore(deps): update apollo graphql packages to v2.12.0 (0b3bbc7)
chore(deps): update typescript-eslint monorepo to v2.27.0 (e805077)
chore(deps): update dependency prettier to v2.0.4 (180f912)
chore(deps): update dependency prettier to v2.0.3 (d0fc774)"
87,"
Merge branch 'master' of https://github.com/nestjs/graphql (fb2efcc)
fix(): fix ast definitions generation for federated graph (b03c5ef)
chore(deps): update dependency lint-staged to v10.1.2 (a07626b)
chore(deps): update dependency ts-node to v8.8.2 (f8d79aa)
","Merge branch 'master' of link (fb2efcc)
fix(): fix ast definitions generation for federated graph (b03c5ef)
chore(deps): update dependency lint-staged to v10.1.2 (a07626b)
chore(deps): update dependency ts-node to v8.8.2 (f8d79aa)"
88,"
feat(): update to graphql v15 (4e5bde8)
Merge pull request #733 from nestjs/renovate/graphql-15.x (ddfe581)
Merge pull request #729 from nestjs/renovate/uuid-7.x (8934f11)
Merge pull request #734 from nestjs/renovate/merge-graphql-schemas-1.x (a054fec)
chore(deps): update dependency @types/jest to v25.2.1 (5d8814b)
chore(deps): update dependency @types/jest to v25.2.0 (e8a195d)
chore(deps): update dependency ts-jest to v25.3.1 (cd2d1fd)
chore(deps): update dependency jest to v25.2.7 (ef53dcb)
chore(deps): update dependency @types/jest to v25.1.5 (4b36d02)
fix(deps): update dependency merge-graphql-schemas to v1.7.7 (d4a4081)
chore(deps): update dependency graphql to v15 (caaab92)
chore(deps): update dependency jest to v25.2.6 (3b0918b)
fix(deps): update dependency uuid to v7.0.3 (507cdcb)
chore(deps): update dependency lint-staged to v10.1.1 (d7768cd)
","feat(): update to graphql v15 (4e5bde8)
Merge pull request #733 from nestjs/renovate/graphql-15.x (ddfe581)
Merge pull request #729 from nestjs/renovate/uuid-7.x (8934f11)
Merge pull request #734 from nestjs/renovate/merge-graphql-schemas-1.x (a054fec)
chore(deps): update dependency @types/jest to v25.2.1 (5d8814b)
chore(deps): update dependency @types/jest to v25.2.0 (e8a195d)
chore(deps): update dependency ts-jest to v25.3.1 (cd2d1fd)
chore(deps): update dependency jest to v25.2.7 (ef53dcb)
chore(deps): update dependency @types/jest to v25.1.5 (4b36d02)
fix(deps): update dependency merge-graphql-schemas to v1.7.7 (d4a4081)
chore(deps): update dependency graphql to v15 (caaab92)
chore(deps): update dependency jest to v25.2.6 (3b0918b)
fix(deps): update dependency uuid to v7.0.3 (507cdcb)
chore(deps): update dependency lint-staged to v10.1.1 (d7768cd)"
89,"
Merge branch 'master' of https://github.com/nestjs/graphql (b8b044d)
fix(): add eager imports to analysed field types (c0ddccd)
chore(deps): update typescript-eslint monorepo to v2.26.0 (525a660)
chore(deps): update dependency lint-staged to v10.1.0 (8e5af26)
chore(deps): update dependency ts-jest to v25.3.0 (08e9166)
chore(deps): update dependency jest to v25.2.4 (2e4b93d)
chore(deps): update nest monorepo to v7.0.7 (5c1519e)
","Merge branch 'master' of link (b8b044d)
fix(): add eager imports to analysed field types (c0ddccd)
chore(deps): update typescript-eslint monorepo to v2.26.0 (525a660)
chore(deps): update dependency lint-staged to v10.1.0 (8e5af26)
chore(deps): update dependency ts-jest to v25.3.0 (08e9166)
chore(deps): update dependency jest to v25.2.4 (2e4b93d)
chore(deps): update nest monorepo to v7.0.7 (5c1519e)"
90,"
Merge branch 'master' of https://github.com/nestjs/graphql (6e1a85a)
feat(): add graphql schema host (0355721)
chore(deps): update dependency lint-staged to v10.0.10 (825944f)
chore(deps): update dependency eslint-plugin-import to v2.20.2 (42b6301)
","Merge branch 'master' of link (6e1a85a)
feat(): add graphql schema host (0355721)
chore(deps): update dependency lint-staged to v10.0.10 (825944f)
chore(deps): update dependency eslint-plugin-import to v2.20.2 (42b6301)"
91,"
refactor(): add cannot determine input/output error classes (b8a78a7)
",refactor(): add cannot determine input/output error classes (b8a78a7)
92,"
Merge branch 'master' of https://github.com/nestjs/graphql (ec224c6)
feat(): add decorator type argument to type utils (6628cea)
chore(deps): update dependency jest to v25.2.3 (3111c48)
chore(deps): update nest monorepo to v7.0.6 (4e8f4ed)
chore(deps): update dependency jest to v25.2.2 (301e325)
","Merge branch 'master' of link (ec224c6)
feat(): add decorator type argument to type utils (6628cea)
chore(deps): update dependency jest to v25.2.3 (3111c48)
chore(deps): update nest monorepo to v7.0.6 (4e8f4ed)
chore(deps): update dependency jest to v25.2.2 (301e325)"
