Index,Message,Description,Message Abstract,Description Abstract
217,Update history to reflect merge of #117 [ci skip],,Update history to reflect merge of #117 [ci skip],
218,Merge pull request #117 from jekyll/pr/smartify,Merge pull request 117,Merge pull request #117 from jekyll/pr/smartify,Merge pull request 117
219,Use SmartyPants,,Use SmartyPants,
220,Update history to reflect merge of #120 [ci skip],,Update history to reflect merge of #120 [ci skip],
221,Merge pull request #120 from jhabdas/master,Merge pull request 120,Merge pull request #120 from jhabdas/master,Merge pull request 120
222,DRY up and add more doc,,DRY up and add more doc,
223,Update history to reflect merge of #119 [ci skip],,Update history to reflect merge of #119 [ci skip],
224,Merge pull request #119 from jhabdas/master,Merge pull request 119,Merge pull request #119 from jhabdas/master,Merge pull request 119
225,Refactor to be more DRY and test stylesheet exists,,Refactor to be more DRY and test stylesheet exists,
226,Fix broken test,,Fix broken test,
227,Add published date,,Add published date,
228,Add XML stylesheet example with XSLT,,Add XML stylesheet example with XSLT,
229,Update history to reflect merge of #113 [ci skip],,Update history to reflect merge of #113 [ci skip],
230,Merge pull request #113 from jekyll/pr/post_author,Merge pull request 113,Merge pull request #113 from jekyll/pr/post_author,Merge pull request 113
231,Use post_author_name when a string is needed,,Use post_author_name when a string is needed,
232,Cleanup post_author logic,,Cleanup post_author logic,
233,added test for _data/authors.yml data and corrected mistakes,,added test for _data/authors.yml data and corrected mistakes,
234,Release v0.5.1,,Release v0.5.1,
235,Update history to reflect merge of #110 [ci skip],,Update history to reflect merge of #110 [ci skip],
236,Merge pull request #110 from jekyll/whitespace-fix,Merge pull request 110,Merge pull request #110 from jekyll/whitespace-fix,Merge pull request 110
237,do it in one line,,do it in one line,
238,fix whitespace,,fix whitespace,
239,failing whitespace test,,failing whitespace test,
240,Release :gem: v0.5.0,,Release :gem: v0.5.0,
241,Update history to reflect merge of #103 [ci skip],,Update history to reflect merge of #103 [ci skip],
242,Merge pull request #103 from jekyll/pr/quiet-warnings,Merge pull request 103,Merge pull request #103 from jekyll/pr/quiet-warnings,Merge pull request 103
243,Update history to reflect merge of #104 [ci skip],,Update history to reflect merge of #104 [ci skip],
244,Merge pull request #104 from jekyll/pr/image,Merge pull request 104,Merge pull request #104 from jekyll/pr/image,Merge pull request 104
245,Quiet known warnings,,Quiet known warnings,
246,Allow absolute URLs for image,,Allow absolute URLs for image,
247,Add support for post image,,Add support for post image,
248,Update history to reflect merge of #105 [ci skip],,Update history to reflect merge of #105 [ci skip],
249,Merge pull request #105 from jekyll/pr/jekyll3,Merge pull request 105,Merge pull request #105 from jekyll/pr/jekyll3,Merge pull request 105
250,Drop support for Jekyll 2,,Drop support for Jekyll 2,
251,Update history to reflect merge of #106 [ci skip],,Update history to reflect merge of #106 [ci skip],
252,Merge pull request #106 from jekyll/pr/author,Merge pull request 106,Merge pull request #106 from jekyll/pr/author,Merge pull request 106
253,Find author by reference,,Find author by reference,
254,Update history to reflect merge of #100 [ci skip],,Update history to reflect merge of #100 [ci skip],
255,Merge pull request #100 from jekyll/pr/fallback-title,Merge pull request 100,Merge pull request #100 from jekyll/pr/fallback-title,Merge pull request 100
256,Do not output blank title attribute,,Do not output blank title attribute,
257,Failing test: Do not output blank title,,Failing test: Do not output blank title,
258,Use site.title in feed_meta if available,,Use site.title in feed_meta if available,
259,Update history to reflect merge of #101 [ci skip],,Update history to reflect merge of #101 [ci skip],
260,Merge pull request #101 from jekyll/pr/test-tag,Merge pull request 101,Merge pull request #101 from jekyll/pr/test-tag,Merge pull request 101
261,Simplify testing feed_meta tag,,Simplify testing feed_meta tag,
262,Update history to reflect merge of #102 [ci skip],,Update history to reflect merge of #102 [ci skip],
263,Merge pull request #102 from jekyll/pr/test-typo,Merge pull request 102,Merge pull request #102 from jekyll/pr/test-typo,Merge pull request 102
264,Correct typo in tests,,Correct typo in tests,
265,Update history to reflect merge of #75 [ci skip],,Update history to reflect merge of #75 [ci skip],
266,Merge pull request #75 from pathawks/i18n,Merge pull request 75,Merge pull request #75 from pathawks/i18n,Merge pull request 75
267,Add basic i18n support,,Add basic i18n support,
268,Update history to reflect merge of #99 [ci skip],,Update history to reflect merge of #99 [ci skip],
269,Merge pull request #99 from jekyll/pr/matrix,Merge pull request 99,Merge pull request #99 from jekyll/pr/matrix,Merge pull request 99
270,Only test against Jekyll 3,,Only test against Jekyll 3,
271,Update history to reflect merge of #81 [ci skip],,Update history to reflect merge of #81 [ci skip],
272,Merge pull request #81 from pathawks/rubocop,Add Rubocop,Merge pull request #81 from pathawks/rubocop,Add Rubocop
273,Test with Rubocop in CI,,Test with Rubocop in CI,
274,Appease Rubocop,,Appease Rubocop,
275,Add Rubocop,,Add Rubocop,
276,Merge pull request #95 from jeremiemartinez/filter-drafts,Filter drafts from feed.xml,Merge pull request #95 from jeremiemartinez/filter-drafts,Filter drafts from feed.xml
277,Filter drafts from feed.xml,,Filter drafts from feed.xml,
278,Merge pull request #92 from akhyarrh/patch-2,Update README.md,Merge pull request #92 from akhyarrh/patch-2,Update README.md
279,Update README.md,Mention change on #72 where title can be used.,Update README.md,Mention change on #72 where title can be used.
280,Merge pull request #86 from jekyll/shuffle,Separate each class/module into its own file,Merge pull request #86 from jekyll/shuffle,Separate each class/module into its own file
281,Make methods private where possible,,Make methods private where possible,
282,Add note about StripWhitespace,,Add note about StripWhitespace,
283,Break classes into seperate files,,Break classes into seperate files,
284,Update history to reflect merge of #87,,Update history to reflect merge of #87,
285,Do not rely on jekyll-last-modified-at,,Do not rely on jekyll-last-modified-at,
286,Update history to reflect merge of #83 [ci skip],,Update history to reflect merge of #83 [ci skip],
287,Merge pull request #83 from jekyll/use-module#method-defined,Merge pull request 83,Merge pull request #83 from jekyll/use-module#method-defined,Merge pull request 83
288,Use Module#method_defined?,I don't think the old way works the way you think it worked.,Use Module#method_defined?,I don't think the old way works the way you think it worked.
289,Update history to reflect merge of #82,[ci skip],Update history to reflect merge of #82,[ci skip]
290,Merge pull request #82 from pathawks/regex,Merge pull request 82,Merge pull request #82 from pathawks/regex,Merge pull request 82
291,Consolidate regexs,,Consolidate regexs,
292,Merge pull request #80 from pathawks/baseurl,feed_meta Should include baseurl,Merge pull request #80 from pathawks/baseurl,feed_meta Should include baseurl
293,feed_meta Should include baseurl,,feed_meta Should include baseurl,
294,Release :gem: v0.4.0,,Release :gem: v0.4.0,
295,Update history to reflect merge of #73,[ci skip],Update history to reflect merge of #73,[ci skip]
296,Merge pull request #73 from pathawks/liquid,Merge pull request 73,Merge pull request #73 from pathawks/liquid,Merge pull request 73
297,"Always use ""double quotes""",,"Always use ""double quotes""",
298,Render sitemap with Jekyll rather than just Liquid,,Render sitemap with Jekyll rather than just Liquid,
299,Update history to reflect merge of #67,[ci skip],Update history to reflect merge of #67,[ci skip]
300,Merge pull request #67 from pathawks/strip_newlines,Merge pull request 67,Merge pull request #67 from pathawks/strip_newlines,Merge pull request 67
301,Strip leading/trailing spaces from post content,"While we do not want to collapse whitespace inside the post content (for fear of screwing with the inside of a <pre> block), there is no reason we would want to keep leading/trailing whitespace",Strip leading/trailing spaces from post content,"While we do not want to collapse whitespace inside the post content (for fear of screwing with the inside of a  block), there is no reason we would want to keep leading/trailing whitespace"
302,Fix merge conflicts?,,Fix merge conflicts?,
303,Add tests for newlines in title,,Add tests for newlines in title,
304,Update travis config.,,Update travis config.,
305,Update history to reflect merge of #72,[ci skip],Update history to reflect merge of #72,[ci skip]
306,Add tests for #72.,,Add tests for #72.,
307,Refactor spec so it allows for easier overriding of config options,,Refactor spec so it allows for easier overriding of config options,
308,Feed title now uses site.title with a fallback for site.name.,,Feed title now uses site.title with a fallback for site.name.,
309,Conditionally add strip filter for Jekyll 2,,Conditionally add strip filter for Jekyll 2,
310,Merge pull request #68 from pathawks/Tests,Merge pull request 68,Merge pull request #68 from pathawks/Tests,Merge pull request 68
311,Remove unused files from test,,Remove unused files from test,
312,Use strip filter on title and summary,,Use strip filter on title and summary,
313,Replace newlines with space,,Replace newlines with space,
314,Merge pull request #60 from jekyll/excerpt-test,Add failing excerpt tests,Merge pull request #60 from jekyll/excerpt-test,Add failing excerpt tests
315,Use Jekyll v3.0.0.beta8,,Use Jekyll v3.0.0.beta8,
316,feed: fix checking for empty/blank excerpt,"it seems blank is part of a rails integration, as #blank? is part of ActiveSupport (or similar) and not a part of Ruby itself.",feed: fix checking for empty/blank excerpt,"it seems blank is part of a rails integration, as #blank? is part of ActiveSupport (or similar) and not a part of Ruby itself."
317,spec: checking for excerpt should ask for XML node's content,,spec: checking for excerpt should ask for XML node's content,
318,"script/cibuild: use ""rake build"" instead of raw gem build",,"script/cibuild: use ""rake build"" instead of raw gem build",
319,add failing excerpt tests,,add failing excerpt tests,
320,:gem: bump,,:gem: bump,
321,Merge pull request #57 from jekyll/summary-be-empty,feed.xml: check to ensure the post excerpt isn't blank before outputting,Merge pull request #57 from jekyll/summary-be-empty,feed.xml: check to ensure the post excerpt isn't blank before outputting
322,feed.xml: check to ensure the post excerpt isn't blank before outputting,,feed.xml: check to ensure the post excerpt isn't blank before outputting,
323,:gem: bump,,:gem: bump,
324,Merge pull request #54 from orderedlist/ol-feed-path-setting,Custom feed path setting,Merge pull request #54 from orderedlist/ol-feed-path-setting,Custom feed path setting
325,Remove contents from feed path spec,Because dumb.,Remove contents from feed path spec,Because dumb.
326,Test for existence using exist instead of truthy,,Test for existence using exist instead of truthy,
327,Read atom.xml in test for feed path,,Read atom.xml in test for feed path,
328,Merge pull request #55 from jekyll/fix-testing-for-54-and-jekyll-3,Start the fix to failing test in #54.,Merge pull request #55 from jekyll/fix-testing-for-54-and-jekyll-3,Start the fix to failing test in #54.
329,Start the fix to failing test in #54.,,Start the fix to failing test in #54.,
330,Change to feed group for settings instead of feed_path,,Change to feed group for settings instead of feed_path,
331,Update README with feed_path info,,Update README with feed_path info,
332,Make feed_path specs pass,,Make feed_path specs pass,
333,Create spec for feed_path,,Create spec for feed_path,
334,Merge pull request #53 from jekyll/loosen-jekyll-version-requirements,Loosen Jekyll Version Requirements.,Merge pull request #53 from jekyll/loosen-jekyll-version-requirements,Loosen Jekyll Version Requirements.
335,Add 2.4 and start  testing it.,,Add 2.4 and start  testing it.,
336,Test on both stable and beta.,,Test on both stable and beta.,
337,Add metadata to the ignores.,,Add metadata to the ignores.,
338,Add Ruby 2.2 because Jekyll supports it.,,Add Ruby 2.2 because Jekyll supports it.,
339,Add vendor/ to .gitignore.,,Add vendor/ to .gitignore.,
340,Loosen Jekyll Version Requirements.,,Loosen Jekyll Version Requirements.,
341,:gem: bump,,:gem: bump,
342,Merge pull request #51 from jekyll/title-feed-meta,Add title to the feed meta tag,Merge pull request #51 from jekyll/title-feed-meta,Add title to the feed meta tag
343,add title to feed meta tag,,add title to feed meta tag,
344,Merge branch 'master' of https://github.com/benbalter/jekyll-rss-feed,,Merge branch 'master' of link,
345,:gem: bump,,:gem: bump,
346,Merge pull request #45 from jekyll/url-uri,Use uri in all places,Merge pull request #45 from jekyll/url-uri,Use uri in all places
347,update test,,update test,
348,Merge pull request #49 from pathawks/fix-liquid-error,Fix Liquid error,Merge pull request #49 from pathawks/fix-liquid-error,Fix Liquid error
349,Fix Liquid error,,Fix Liquid error,
350,use uri in all places,,use uri in all places,
351,typo in version number,,typo in version number,
352,:gem: bump,,:gem: bump,
353,Merge pull request #44 from jekyll/author-uri-tag-fix,Fix author uri tag,Merge pull request #44 from jekyll/author-uri-tag-fix,Fix author uri tag
354,fix author uri tag,,fix author uri tag,
355,:gem: bump,,:gem: bump,
356,Merge pull request #42 from pathawks/last-modified-at,Use jekyll-last-modified-at for updated date,Merge pull request #42 from pathawks/last-modified-at,Use jekyll-last-modified-at for updated date
357,Merge pull request #31 from pathawks/author-object,Better author support,Merge pull request #31 from pathawks/author-object,Better author support
358,:gem: bump,,:gem: bump,
359,Merge pull request #43 from jekyll/xml-base,Add xml:base attribute to the feed tag,Merge pull request #43 from jekyll/xml-base,Add xml:base attribute to the feed tag
360,whitespace,,whitespace,
361,use the post url,,use the post url,
362,move to content,,move to content,
363,"its an attribute, not a tag",,"its an attribute, not a tag",
364,add xml:base attribute to the feed tag,,add xml:base attribute to the feed tag,
365,:gem: bump,,:gem: bump,
366,Merge pull request #41 from jekyll/limit,Limit feed to 10 posts,Merge pull request #41 from jekyll/limit,Limit feed to 10 posts
367,Use jekyll-last-modified-at for updated date,,Use jekyll-last-modified-at for updated date,
368,limit feed to 10 posts,,limit feed to 10 posts,
369,Support author as object,,Support author as object,
370,:gem: bump,,:gem: bump,
371,Merge pull request #39 from jekyll/xml-escape-id,XML escape the ID field,Merge pull request #39 from jekyll/xml-escape-id,XML escape the ID field
372,xml escape the ID field,,xml escape the ID field,
373,:gem: bump,,:gem: bump,
374,Merge pull request #37 from jekyll/html,Render post content prior to feed generation,Merge pull request #37 from jekyll/html,Render post content prior to feed generation
375,Merge branch 'master' into html,,Merge branch 'master' into html,
376,use markdownify as a stopgap,,use markdownify as a stopgap,
377,set -e on cibuild,,set -e on cibuild,
378,failing test for HTML rendering;,,failing test for HTML rendering;,
379,Merge pull request #33 from pathawks/prepend,Refactor feed.xml to use prepend,Merge pull request #33 from pathawks/prepend,Refactor feed.xml to use prepend
380,:gem: bump,,:gem: bump,
381,Merge pull request #29 from jekyll/jekyll-feed,Rename to Jekyll Feed,Merge pull request #29 from jekyll/jekyll-feed,Rename to Jekyll Feed
382,Merge branch 'master' into jekyll-feed,,Merge branch 'master' into jekyll-feed,
383,Merge pull request #34 from pathawks/feed-content,Remove references to jekyll-sitemap,Merge pull request #34 from pathawks/feed-content,Remove references to jekyll-sitemap
384,Remove references to jekyll-sitemap,,Remove references to jekyll-sitemap,
385,Merge pull request #32 from pathawks/escape,Escape every string before output,Merge pull request #32 from pathawks/escape,Escape every string before output
386,Refactor feed.xml to use prepend,,Refactor feed.xml to use prepend,
387,Fix test by escaping XML,,Fix test by escaping XML,
388,Break test with unescaped XML,,Break test with unescaped XML,
389,Merge pull request #30 from jekyll/trailing-slash,add trailing slash back in,Merge pull request #30 from jekyll/trailing-slash,add trailing slash back in
390,add trailing slash back in,,add trailing slash back in,
391,update tests,,update tests,
392,update readme,,update readme,
393,rename to jekyll-feed,,rename to jekyll-feed,
394,Merge pull request #24 from jekyll/atom,Use Atom template for feed,Merge pull request #24 from jekyll/atom,Use Atom template for feed
395,balance whitespace,,balance whitespace,
396,xml escape the excerpt,,xml escape the excerpt,
397,keep closing tags consistent,,keep closing tags consistent,
398,remove stray slash,,remove stray slash,
399,Merge pull request #25 from jekyll/tag,Add feed_meta tag,Merge pull request #25 from jekyll/tag,Add feed_meta tag
400,whitespace,,whitespace,
401,properly call site.github.url,,properly call site.github.url,
402,document,,document,
403,add feed_meta tag,,add feed_meta tag,
404,update docs,,update docs,
405,simplify author,,simplify author,
406,normalize whitespace,,normalize whitespace,
407,"use assign, not capture",,"use assign, not capture",
408,normalize whitespace,,normalize whitespace,
409,update tests,,update tests,
410,even more validation,,even more validation,
