Index,Message,Description,Message Abstract,Description Abstract
43,Conditionally load GFM parser in CI builds,,Conditionally load GFM parser in CI builds,
44,chore(release): :gem: 0.15.0,,chore(release): :gem: 0.15.0,
45,Update history to reflect merge of #316 [ci skip],,Update history to reflect merge of #316 [ci skip],
46,Add support to drafts (#316),Merge pull request 316,Add support to drafts (#316),Merge pull request 316
47,chore(release): :gem: 0.14.0,,chore(release): :gem: 0.14.0,
48,style: target Ruby 2.4,,style: target Ruby 2.4,
49,Update history to reflect merge of #153 [ci skip],,Update history to reflect merge of #153 [ci skip],
50,add support for categories frontmatter (#153),Merge pull request 153,add support for categories frontmatter (#153),Merge pull request 153
51,Update history to reflect merge of #264 [ci skip],,Update history to reflect merge of #264 [ci skip],
52,Feed by tag (#264),Merge pull request 264,Feed by tag (#264),Merge pull request 264
53,Update history to reflect merge of #307 [ci skip],,Update history to reflect merge of #307 [ci skip],
54,chore(deps): require Ruby >=2.4.0 (#307),Merge pull request 307,chore(deps): require Ruby >=2.4.0 (#307),Merge pull request 307
55,Update history to reflect merge of #233 [ci skip],,Update history to reflect merge of #233 [ci skip],
56,Dont forget about categories (#233),Merge pull request 233,Dont forget about categories (#233),Merge pull request 233
57,Update history to reflect merge of #314 [ci skip],,Update history to reflect merge of #314 [ci skip],
58,Make posts limit configurable (#314),Merge pull request 314,Make posts limit configurable (#314),Merge pull request 314
59,Update history to reflect merge of #309 [ci skip],,Update history to reflect merge of #309 [ci skip],
60,chore: use Dir class to list files (#309),Merge pull request 309,chore: use Dir class to list files (#309),Merge pull request 309
61,Update history to reflect merge of #306 [ci skip],,Update history to reflect merge of #306 [ci skip],
62,XML escape the title field of feed_meta (#306),Merge pull request 306,XML escape the title field of feed_meta (#306),Merge pull request 306
63,chore(deps): bump Ruby versions,Ruby 2.4 is now EOL,chore(deps): bump Ruby versions,Ruby 2.4 is now EOL
64,Update history to reflect merge of #305 [ci skip],,Update history to reflect merge of #305 [ci skip],
65,Fix generation of feed when post title contains HTML (#305),Merge pull request 305,Fix generation of feed when post title contains HTML (#305),Merge pull request 305
66,chore(dev): simplify require for version,,chore(dev): simplify require for version,
67,Merge pull request #291 from jekyll/pull/v0.13.0,Release: v0.13.0,Merge pull request #291 from jekyll/pull/v0.13.0,Release: v0.13.0
68,Release: v0.13.0,Minor enhancements:  Excerpt only flag (#287) Add media:content tag (#290)  Fix #283,Release: v0.13.0,Minor enhancements: Excerpt only flag (#287) Add media:content tag (#290) Fix #283
69,Update history to reflect merge of #290 [ci skip],,Update history to reflect merge of #290 [ci skip],
70,Add media:content tag (#290),Merge pull request 290,Add media:content tag (#290),Merge pull request 290
71,Update history to reflect merge of #287 [ci skip],,Update history to reflect merge of #287 [ci skip],
72,Excerpt only flag (#287),Merge pull request 287,Excerpt only flag (#287),Merge pull request 287
73,Update history to reflect merge of #249 [ci skip],,Update history to reflect merge of #249 [ci skip],
74,test: use categories in post (#249),Merge pull request 249,test: use categories in post (#249),Merge pull request 249
75,Use secure protocol in example URL (#282),,Use secure protocol in example URL (#282),
76,Release: v0.12.1,,Release: v0.12.1,
77,Update history to reflect merge of #272 [ci skip],,Update history to reflect merge of #272 [ci skip],
78,Re-introduce Ruby 2.3 support and test Jekyll 3.7+ (#272),Merge pull request 272,Re-introduce Ruby 2.3 support and test Jekyll 3.7+ (#272),Merge pull request 272
79,Update history to reflect merge of #271 [ci skip],,Update history to reflect merge of #271 [ci skip],
80,Release: v0.12.0 (#271),Merge pull request 271,Release: v0.12.0 (#271),Merge pull request 271
81,Update history to reflect merge of #265 [ci skip],,Update history to reflect merge of #265 [ci skip],
82,Enable testing for Windows platform (#265),Merge pull request 265,Enable testing for Windows platform (#265),Merge pull request 265
83,Update history to reflect merge of #258 [ci skip],,Update history to reflect merge of #258 [ci skip],
84,dev: update CI and style settings (#258),Merge pull request 258,dev: update CI and style settings (#258),Merge pull request 258
85,chore(ci): test oldest and latest ruby versions only,,chore(ci): test oldest and latest ruby versions only,
86,chore(deps): :up: jekyll-rubocop 0.4,,chore(deps): :up: jekyll-rubocop 0.4,
87,Update history to reflect merge of #248 [ci skip],,Update history to reflect merge of #248 [ci skip],
88,style: fix offenses in specs (#248),Merge pull request 248,style: fix offenses in specs (#248),Merge pull request 248
89,style: immutable constant,,style: immutable constant,
90,chore(deps): rubocop-jekyll 0.3.0,,chore(deps): rubocop-jekyll 0.3.0,
91,Merge pull request #247 from jekyll/pull/fix-defaults,test: update type in defaults,Merge pull request #247 from jekyll/pull/fix-defaults,test: update type in defaults
92,test: update type ,type is pages since Jekyll 3,test: update type ,type is pages since Jekyll 3
93,style: Add empty line after guard clause,,style: Add empty line after guard clause,
94,chore(deps): bump rubucop-jekyll,,chore(deps): bump rubucop-jekyll,
95,Update history to reflect merge of #241 [ci skip],,Update history to reflect merge of #241 [ci skip],
96,Release :gem: 0.11 (#241),Merge pull request 241,Release :gem: 0.11 (#241),Merge pull request 241
97,Update history to reflect merge of #240 [ci skip],,Update history to reflect merge of #240 [ci skip],
98,Refactor to remove redundant calls and variables (#240),Merge pull request 240,Refactor to remove redundant calls and variables (#240),Merge pull request 240
99,Update history to reflect merge of #234 [ci skip],,Update history to reflect merge of #234 [ci skip],
100,Remove check for older version of Jekyll (#234),Merge pull request 234,Remove check for older version of Jekyll (#234),Merge pull request 234
101,Update history to reflect merge of #228 [ci skip],,Update history to reflect merge of #228 [ci skip],
102,Categories and collections (#228),Merge pull request 228,Categories and collections (#228),Merge pull request 228
103,Rubocop ~> 0.57.2,,Rubocop ~> 0.57.2,
104,Update history to reflect merge of #222 [ci skip],,Update history to reflect merge of #222 [ci skip],
105,Require Ruby 2.3 (#222),Merge pull request 222,Require Ruby 2.3 (#222),Merge pull request 222
106,Release :gem: 0.10.0,,Release :gem: 0.10.0,
107,Update history to reflect merge of #232 [ci skip],,Update history to reflect merge of #232 [ci skip],
108,Support Typhoeus 1.0 (#232),Merge pull request 232,Support Typhoeus 1.0 (#232),Merge pull request 232
109,Update history to reflect merge of #230 [ci skip],,Update history to reflect merge of #230 [ci skip],
110,Bump Rubocop (#230),Merge pull request 230,Bump Rubocop (#230),Merge pull request 230
111,update CI config,,update CI config,
112,Update history to reflect merge of #223 [ci skip],,Update history to reflect merge of #223 [ci skip],
113,rubocop 0.55 (#223),Merge pull request 223,rubocop 0.55 (#223),Merge pull request 223
114,Update History.markdown,,Update History.markdown,
115,Update history to reflect merge of #209 [ci skip],,Update history to reflect merge of #209 [ci skip],
116,Fix #208 (#209),Merge pull request 209,Fix #208 (#209),Merge pull request 209
117,Release :gem: v0.9.3,,Release :gem: v0.9.3,
118,Bump development dependencies,,Bump development dependencies,
119,Update history to reflect merge of #205 [ci skip],,Update history to reflect merge of #205 [ci skip],
120,Add documentation for disabling smartify filter (#205),Merge pull request 205,Add documentation for disabling smartify filter (#205),Merge pull request 205
121,Update history to reflect merge of #201 [ci skip],,Update history to reflect merge of #201 [ci skip],
122,Test against Ruby 2.5 (#201),Merge pull request 201,Test against Ruby 2.5 (#201),Merge pull request 201
123,Update LICENSE.txt,,Update LICENSE.txt,
124,Update Copyright notice,,Update Copyright notice,
125,Update Copyright notice,,Update Copyright notice,
126,Dev: Standardize scripts,,Dev: Standardize scripts,
127,Move version to its own file for easier bumping,,Move version to its own file for easier bumping,
128,Update history to reflect merge of #197 [ci skip],,Update history to reflect merge of #197 [ci skip],
129,Fix: Add note about using plugins instead of gems key (#197),Merge pull request 197,Fix: Add note about using plugins instead of gems key (#197),Merge pull request 197
130,Update history to reflect merge of #164 [ci skip],,Update history to reflect merge of #164 [ci skip],
131,Test feeds that have a site.lang (#164),Merge pull request 164,Test feeds that have a site.lang (#164),Merge pull request 164
132,Update history to reflect merge of #195 [ci skip],,Update history to reflect merge of #195 [ci skip],
133,Rubocop: Target Ruby 2.1 (#195),Merge pull request 195,Rubocop: Target Ruby 2.1 (#195),Merge pull request 195
134,Update history to reflect merge of #188 [ci skip],,Update history to reflect merge of #188 [ci skip],
135,Test against Ruby 2.1 to 2.4 (#188),Merge pull request 188,Test against Ruby 2.1 to 2.4 (#188),Merge pull request 188
136,Update history to reflect merge of #187 [ci skip],,Update history to reflect merge of #187 [ci skip],
137,Define path with __dir (#187),Merge pull request 187,Define path with __dir (#187),Merge pull request 187
138,rubocop -a,,rubocop -a,
139,:gem: bump,,:gem: bump,
140,Update history to reflect merge of #168 [ci skip],,Update history to reflect merge of #168 [ci skip],
141,Merge pull request #168 from jokester/fix-entry-lang,Merge pull request 168,Merge pull request #168 from jokester/fix-entry-lang,Merge pull request 168
