Index,Message,Description,Message Abstract,Description Abstract
788,Merge pull request #1434 from micalevisk/fix-issue-1433,refactor: clarify about schematics available on generate command,Merge pull request #1434 from micalevisk/fix-issue-1433,refactor: clarify about schematics available on generate command
789,Merge pull request #1436 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.1.1,Merge pull request #1436 from nestjs/renovate/angular-cli-monorepo,fix(deps): update angular-cli monorepo to v13.1.1
790,Merge pull request #1446 from Toilal/eslint-fixes,style(eslint): fix eslint errors and configuration,Merge pull request #1446 from Toilal/eslint-fixes,style(eslint): fix eslint errors and configuration
791,Merge pull request #1416 from nestjs/renovate/source-map-support-0.x,fix(deps): update dependency source-map-support to v0.5.21,Merge pull request #1416 from nestjs/renovate/source-map-support-0.x,fix(deps): update dependency source-map-support to v0.5.21
792,fix: set flags from old node,Closes #1406,fix: set flags from old node,Closes #1406
793,fix(deps): update angular-cli monorepo to v13.1.1,,fix(deps): update angular-cli monorepo to v13.1.1,
794,chore(deps): update dependency jest to v27.4.4,,chore(deps): update dependency jest to v27.4.4,
795,chore(tsconfig): add node and jest types to tsconfig.json,,chore(tsconfig): add node and jest types to tsconfig.json,
796,style(eslint): fix eslint errors and configuration,eslint typescript prettier configuration has been simplified. see https://github.com/prettier/eslint-config-prettier/blob/main/CHANGELOG.md#version-800-2021-02-21,style(eslint): fix eslint errors and configuration,eslint typescript prettier configuration has been simplified. see link
797,chore(deps): update dependency ts-jest to v27.1.1,,chore(deps): update dependency ts-jest to v27.1.1,
798,chore(deps): update dependency @types/node to v16.11.12,,chore(deps): update dependency @types/node to v16.11.12,
799,chore(deps): update dependency eslint to v8.4.1,,chore(deps): update dependency eslint to v8.4.1,
800,chore(deps): update typescript-eslint monorepo to v5.6.0,,chore(deps): update typescript-eslint monorepo to v5.6.0,
801,fix(deps): update dependency webpack to v5.65.0,,fix(deps): update dependency webpack to v5.65.0,
802,chore(deps): update dependency ts-jest to v27.1.0,,chore(deps): update dependency ts-jest to v27.1.0,
803,chore(deps): update dependency prettier to v2.5.1,,chore(deps): update dependency prettier to v2.5.1,
804,chore(deps): update dependency eslint to v8.4.0,,chore(deps): update dependency eslint to v8.4.0,
805,chore(deps): update dependency jest to v27.4.3,,chore(deps): update dependency jest to v27.4.3,
806,refactor: clarify about schematics available on generate command,,refactor: clarify about schematics available on generate command,
807,chore(deps): update dependency jest to v27.4.2,,chore(deps): update dependency jest to v27.4.2,
808,chore(deps): update dependency jest to v27.4.1,,chore(deps): update dependency jest to v27.4.1,
809,chore(deps): update dependency @types/node to v16.11.11,,chore(deps): update dependency @types/node to v16.11.11,
810,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.5.0,,fix(deps): update dependency fork-ts-checker-webpack-plugin to v6.5.0,
811,chore(deps): update typescript-eslint monorepo to v5.5.0,,chore(deps): update typescript-eslint monorepo to v5.5.0,
812,chore(deps): update dependency jest to v27.4.0,,chore(deps): update dependency jest to v27.4.0,
813,chore(deps): update dependency prettier to v2.5.0,,chore(deps): update dependency prettier to v2.5.0,
814,chore(deps): update dependency @types/node to v16.11.10,,chore(deps): update dependency @types/node to v16.11.10,
815,chore(deps): update dependency eslint to v8.3.0,,chore(deps): update dependency eslint to v8.3.0,
816,fix(deps): update dependency tsconfig-paths to v3.12.0,,fix(deps): update dependency tsconfig-paths to v3.12.0,
817,chore(deps): update dependency release-it to v14.11.8,,chore(deps): update dependency release-it to v14.11.8,
818,fix(deps): update dependency source-map-support to v0.5.21,,fix(deps): update dependency source-map-support to v0.5.21,
819,chore(deps): update dependency @types/node to v16.11.9,,chore(deps): update dependency @types/node to v16.11.9,
