Index,Release Note,Release Note With Abstraction
21," Optional: add a release summary here 

Fixed build with: cast to string (#2170) @StefanSpieker

🚀 New features and improvements

Added support for favorites for primary branches names other than ""master"" (#2168) @murraybo
Increase height of result item label desc in logConsole (#2060) @amritb
Show ""Run build steps in a container"" from Kubernetes plugin (#2009) @edimarlnx

📦 Dependency updates

Bump mockito-core from 3.3.3 to 3.10.0 (#2172) @dependabot
Bump frontend-maven-plugin from 1.7.5 to 1.12.0 (#2173) @dependabot
Bump jose4j from 0.7.6 to 0.7.7 (#2165) @dependabot
Bump uap-java from 1.5.0 to 1.5.2 (#2159) @dependabot
Bump ant from 1.9 to 1.11 (#2162) @dependabot
Bump sonar from 2.9 to 2.13.1 (#2161) @dependabot
Get rid of sha method from commons-codec (#2154) @olamy
Bump keen-client-api-java from 5.2.0 to 5.6.0 (#2156) @dependabot
Bump bom-2.222.x from 26 to 28 (#2157) @dependabot
Bump jose4j from 0.6.0 to 0.7.6 (#2148) @dependabot
Bump jsoup from 1.10.3 to 1.13.1 (#2150) @dependabot
Bump junit from 4.13.1 to 4.13.2 (#2153) @dependabot

👻 Maintenance

JENKINS-65593 - Fix test error for Jenkins >= 2.281 (#2166) @MRamonLeon
","Optional: add a release summary here 
Fixed build with: cast to string (#2170) @StefanSpieker
🚀 New features and improvements
Added support for favorites for primary branches names other than ""master"" (#2168) @murraybo
Increase height of result item label desc in logConsole (#2060) @amritb
Show ""Run build steps in a container"" from Kubernetes plugin (#2009) @edimarlnx
📦 Dependency updates
Bump mockito-core from 3.3.3 to 3.10.0 (#2172) @dependabot
Bump frontend-maven-plugin from 1.7.5 to 1.12.0 (#2173) @dependabot
Bump jose4j from 0.7.6 to 0.7.7 (#2165) @dependabot
Bump uap-java from 1.5.0 to 1.5.2 (#2159) @dependabot
Bump ant from 1.9 to 1.11 (#2162) @dependabot
Bump sonar from 2.9 to 2.13.1 (#2161) @dependabot
Get rid of sha method from commons-codec (#2154) @olamy
Bump keen-client-api-java from 5.2.0 to 5.6.0 (#2156) @dependabot
Bump bom-2.222.x from 26 to 28 (#2157) @dependabot
Bump jose4j from 0.6.0 to 0.7.6 (#2148) @dependabot
Bump jsoup from 1.10.3 to 1.13.1 (#2150) @dependabot
Bump junit from 4.13.1 to 4.13.2 (#2153) @dependabot
👻 Maintenance
JENKINS-65593 - Fix test error for Jenkins >= 2.281 (#2166) @MRamonLeon"
22," Optional: add a release summary here 

Fix incorrect bundling (#2146) @jtnord
Check the error details from Bitbucket API response if exist before parsing it (#2141) @LinuxSuRen

📦 Dependency updates

Bump plugin from 4.16 to 4.18 (#2151) @dependabot
get rid of commons-codec usage (#2152) @olamy
Bump plugin from 4.16 to 4.17 (#2147) @dependabot
Bump jacoco.version from 0.8.5 to 0.8.6 (#2144) @dependabot
Bump blueocean-autofavorite from 1.2.3 to 1.2.4 (#2087) @dependabot
Bump handy-uri-templates from 2.1.6 to 2.1.8 (#2091) @dependabot
Bump blueocean-display-url from 2.2.0 to 2.4.1 (#2142) @dependabot
Bump maven-javadoc-plugin from 3.1.0 to 3.2.0 (#2105) @dependabot
Bump release-drafter/release-drafter from v5.14.0 to v5.15.0 (#2140) @dependabot

📝 Documentation updates

Update README.md (#2145) @jtnord
","Optional: add a release summary here 
Fix incorrect bundling (#2146) @jtnord
Check the error details from Bitbucket API response if exist before parsing it (#2141) @LinuxSuRen
📦 Dependency updates
Bump plugin from 4.16 to 4.18 (#2151) @dependabot
get rid of commons-codec usage (#2152) @olamy
Bump plugin from 4.16 to 4.17 (#2147) @dependabot
Bump jacoco.version from 0.8.5 to 0.8.6 (#2144) @dependabot
Bump blueocean-autofavorite from 1.2.3 to 1.2.4 (#2087) @dependabot
Bump handy-uri-templates from 2.1.6 to 2.1.8 (#2091) @dependabot
Bump blueocean-display-url from 2.2.0 to 2.4.1 (#2142) @dependabot
Bump maven-javadoc-plugin from 3.1.0 to 3.2.0 (#2105) @dependabot
Bump release-drafter/release-drafter from v5.14.0 to v5.15.0 (#2140) @dependabot
📝 Documentation updates
Update README.md (#2145) @jtnord"
23," Optional: add a release summary here 
📦 Dependency updates

Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy
use slf4j, commons-io, commons-lang, commons-codec version coming from bom and mark them as provided (#2135) @olamy
Bump commons-io from 2.6 to 2.8.0 (#2133) @dependabot
Bump parent version 4.16, bom version 25 (#2134) @olamy
Bump release-drafter/release-drafter from v5.13.0 to v5.14.0 (#2131) @dependabot
use slf4j 1.7.30 (#2129) @olamy
Upgrade commons-codec to 1.15 (#2127) @olamy
Upgrade UA Parser Library (#2123) @rahulsom
Bump release-drafter/release-drafter from v5.12.1 to v5.13.0 (#2124) @dependabot

👻 Maintenance

Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy
JENKINS-58732 - Remove docker-workflow dep from blueocean-pipeline-editor - update minimum jenkins core version 2.222.4 (#2132) @jglick
Minor code cleanup in GitHub Pipeline (#2130) @StefanSpieker
Minor refactoring in blueocean-commons (#2128) @StefanSpieker

🚦 Tests

Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy
","Optional: add a release summary here 
📦 Dependency updates
Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy
use slf4j, commons-io, commons-lang, commons-codec version coming from bom and mark them as provided (#2135) @olamy
Bump commons-io from 2.6 to 2.8.0 (#2133) @dependabot
Bump parent version 4.16, bom version 25 (#2134) @olamy
Bump release-drafter/release-drafter from v5.13.0 to v5.14.0 (#2131) @dependabot
use slf4j 1.7.30 (#2129) @olamy
Upgrade commons-codec to 1.15 (#2127) @olamy
Upgrade UA Parser Library (#2123) @rahulsom
Bump release-drafter/release-drafter from v5.12.1 to v5.13.0 (#2124) @dependabot
👻 Maintenance
Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy
JENKINS-58732 - Remove docker-workflow dep from blueocean-pipeline-editor - update minimum jenkins core version 2.222.4 (#2132) @jglick
Minor code cleanup in GitHub Pipeline (#2130) @StefanSpieker
Minor refactoring in blueocean-commons (#2128) @StefanSpieker
🚦 Tests
Upgrade ath test to use jenkins core 2.222.4 same as one defined in plugin pom (#2139) @olamy"
24," Optional: add a release summary here 
🚨 Removed

JENKINS-50885 - Make JIRA Integration for Blue Ocean plugin (blueocean-jira) optional (#2125) @dwnusbaum

📦 Dependency updates

Upgrade sse-gateway plugin to 1.24 (#2118) @olamy
","Optional: add a release summary here 
🚨 Removed
JENKINS-50885 - Make JIRA Integration for Blue Ocean plugin (blueocean-jira) optional (#2125) @dwnusbaum
📦 Dependency updates
Upgrade sse-gateway plugin to 1.24 (#2118) @olamy"
25," Optional: add a release summary here 
🚨 Removed

Make executor plugin optional (#2117) @timja
","Optional: add a release summary here 
🚨 Removed
Make executor plugin optional (#2117) @timja"
26," Optional: add a release summary here 
🚨 Removed

JENKINS-63979 - tombstone blueocean executor info plugin (#2114) @olamy

🚀 New features and improvements

reduce network usages (#2107) @ugatenio

📦 Dependency updates

Bump release-drafter/release-drafter from v5.11.0 to v5.12.1 (#2115) @dependabot
Bump junit from 4.13 to 4.13.1 in /acceptance-tests (#2110) @dependabot
Bump junit from 4.13 to 4.13.1 (#2112) @dependabot

👻 Maintenance

Remove non needed anymore inner class (SECURITY-380 - ) (#2109) @res0nance
GitHub ath test failure due to default branch change master to main (#2113) @olamy
Remove unused jquery-detached js dependency (#2111) @fqueiruga

🚦 Tests

GitHub ath test failure due to default branch change master to main (#2113) @olamy
","Optional: add a release summary here 
🚨 Removed
JENKINS-63979 - tombstone blueocean executor info plugin (#2114) @olamy
🚀 New features and improvements
reduce network usages (#2107) @ugatenio
📦 Dependency updates
Bump release-drafter/release-drafter from v5.11.0 to v5.12.1 (#2115) @dependabot
Bump junit from 4.13 to 4.13.1 in /acceptance-tests (#2110) @dependabot
Bump junit from 4.13 to 4.13.1 (#2112) @dependabot
👻 Maintenance
Remove non needed anymore inner class (SECURITY-380 - ) (#2109) @res0nance
GitHub ath test failure due to default branch change master to main (#2113) @olamy
Remove unused jquery-detached js dependency (#2111) @fqueiruga
🚦 Tests
GitHub ath test failure due to default branch change master to main (#2113) @olamy"
27," Optional: add a release summary here 

Update parent & use recommended jenkins-test-harness (#2108) @jglick

🐛 Bug Fixes

limit fetch call (#2104) @ugatenio

🚦 Tests

Trying to make mock tests pass against Spring Security (#2106) @jglick
","Optional: add a release summary here 
Update parent & use recommended jenkins-test-harness (#2108) @jglick
🐛 Bug Fixes
limit fetch call (#2104) @ugatenio
🚦 Tests
Trying to make mock tests pass against Spring Security (#2106) @jglick"
28," Optional: add a release summary here 

JENKINS-62669 - Mercurial support going away from Bitbucket (#2080) @jglick
[JENKINS-62666] Adding a /jwt-auth/jwks endpoint that follows the RFC7517 #2077 @Lucas-C @lenaing 
Upgrade to okhttp3 @bitwiseman 

🚦 Tests

Changed PowerMock Ignore due to a comflict with SSLSocketFactory (#2102) @joseblas
Fix PCT failures when running against Jenkins 2.249+ (#2094) @dwnusbaum 
","Optional: add a release summary here 
JENKINS-62669 - Mercurial support going away from Bitbucket (#2080) @jglick
[JENKINS-62666] Adding a /jwt-auth/jwks endpoint that follows the RFC7517 #2077 @Lucas-C @lenaing 
Upgrade to okhttp3 @bitwiseman 
🚦 Tests
Changed PowerMock Ignore due to a comflict with SSLSocketFactory (#2102) @joseblas
Fix PCT failures when running against Jenkins 2.249+ (#2094) @dwnusbaum "
29,"
SECURITY-1961 (Missing permission check in Blue Ocean Plugin)
SECURITY-1956 (Path traversal vulnerability in Blue Ocean Plugin)
","SECURITY-1961 (Missing permission check in Blue Ocean Plugin)
SECURITY-1956 (Path traversal vulnerability in Blue Ocean Plugin)"
30,"
SECURITY-1961 (Missing permission check in Blue Ocean Plugin)
SECURITY-1956 (Path traversal vulnerability in Blue Ocean Plugin)
","SECURITY-1961 (Missing permission check in Blue Ocean Plugin)
SECURITY-1956 (Path traversal vulnerability in Blue Ocean Plugin)"
