Index,Message,Description
1284,r/pod: Fix a crash caused by wrong field name,
1285,Add support for kubernetes_service_account,
1286,Adding back the GNUmakefile test-compile step,
1287,Simplifying the GNUMakefile,
1288,Update CHANGELOG.md,
1289,docs/service: Add new exported field,
1290,Merge pull request #12 from terraform-providers/f-svc-wait-for-lb-ingress,resource/kubernetes_service: Wait for LoadBalancer ingress
1291,docs: Fix outdated links to K8S docs (#10),
1292,r/kubernetes_service: Fix failing test,
1293,Update Changelog for kubernetes provider,
1294,Fix Changelog Links Script for kubernetes provider,
1295,Update CHANGELOG.md,
1296,Merge pull request #6 from e-max/fix_gcp_auth_provider_error,Register GCP auth plugin
1297,Test auth provider plugins are loaded,
1298,Register GCP auth plugin,As described here https://github.com/hashicorp/terraform/issues/15244#issuecomment-307597692 client-go doesn't enable GCP auth plugin by default. We have to do it explicitly
1299,vendor auth plugins (#11),  vendor auth plugins   vendor version v3.0.0-beta.0 of k8s.io/client-go/util/jsonpath   remove duplicated vendoring of k8s.io/client-go/plugin/pkg/client/auth/gcp 
1300,resource/kubernetes_service: Wait for LB ingress,
1301,Update CHANGELOG.md,
1302,Add support for kubernetes_replication_controller (#9),
1303,Cleanup after v0.1.0 release,
1304,v0.1.0,
1305,Update CHANGELOG.md,
1306,vendor gcp auth plugin from client-go (#7),
1307,Clarified exclusion of alpha and beta resources (#2),
1308,Update CHANGELOG,
1309,Update CHANGELOG,
1310,Updating Makefile + Add gitignore,
1311,Transfer of provider code,
1312,Transfer Kubernetes provider,
1313,Transfer kubernetes provider,
1314,Transfer of provider website docs,
1315,Merge branch 'master' of /Users/jake/terraform,
1316,Transfer kubernetes provider website,
1317,provider/kubernetes: Add support for pod (#13571),Add support for K8s pod
1318,provider/kubernetes: Add support for pod (#13571),Add support for K8s pod
1319,Updating Makefile + Add gitignore,
1320,Initial transfer of provider code,
1321,Merge branch 'master' of /Users/jake/terraform,
1322,Transfer kubernetes provider,
1323,Add Issue Template,
1324,initial commit,
1325,provider/kubernetes: Allow sourcing config_path from KUBECONFIG env var (#14889),
1326,provider/kubernetes: Allow sourcing config_path from KUBECONFIG env var (#14889),
1327,Merge pull request #15019 from hashicorp/f-k8s-pvc-unbound-reason,provider/kubernetes: Provide more details about why PVC failed to bind
1328,docs/kubernetes: Document compatible k8s versions (#15020),
1329,provider/kubernetes: Provide more details about why PVC failed to bind,
1330,provider/kubernetes: Mark HPA's target_cpu_utilization_percentage as computed,
1331,provider/kubernetes: Fix failing tests after upgrading to 1.6,
1332,provider/kubernetes: Ignore k8s internal labels,Fixes #13716
1333,provider/kubernetes: Change imports and references after upgrade,
1334,docs/kubernetes: Fix sidebar highlighting (#14829),
1335,docs/kubernetes: Fix import docs (missing namespace) (#14832),
1336,provider/kubernetes: Add support for Horizontal Pod Autoscaler (#14763),
1337,provider/kubernetes: Add support for Horizontal Pod Autoscaler (#14763),
1338,provider/kubernetes: Add support for Service (#14554),
1339,provider/kubernetes: Add support for Service (#14554),
1340,provider/kubernetes: Add support for limit_range (#14285),
1341,provider/kubernetes: Add support for limit_range (#14285),
1342,provider/kubernetes: Add support for resource_quota (#13914),
1343,provider/kubernetes: Add support for resource_quota (#13914),
1344,Add dockercfg example to Kubernetes secret (#14151),
1345,Fixes kubernetes namespace name to have valid format (#13615),
1346,provider/kubernetes: Add support for persistent_volume_claim (#13527),
1347,provider/kubernetes: Add support for persistent_volume_claim (#13527),
1348,provider/kubernetes: Add support for persistent_volume,
1349,provider/kubernetes: Add support for persistent_volume,
1350,kubernetes: Make generatable name optional in metadataSchema,
1351,Update kubernetes provider,
1352,provider/kubernetes: Allow defining custom config context (#12958),
1353,provider/kubernetes: Allow defining custom config context (#12958),
1354,provider/kubernetes: Use PATCH to update namespace (#13114),
1355,kubernetes: Add secret resource (#12960),
1356,kubernetes: Add secret resource (#12960),
1357,provider/kubernetes: Fix sorting of the PatchOperations (#13117),
1358,kubernetes: Ignore internal K8S annotations,
1359,kubernetes: Use JSON patch for updating config_map,
1360,Kubernetes ConfigMap metadata name did not comply to the regex rules (#12955),
1361,kubernetes: Add config_map resource (#12753),
1362,kubernetes: Add config_map resource (#12753),
1363,kubernetes: Add GKE config as test infrastructure,
1364,kubernetes: Add provider + namespace resource,
1365,kubernetes: Add provider + namespace resource,
