Index,Message,Description
947,Add NodeAffinity config to persistence volume (#219),"Added node-affinity support for persistence volume. Added waiting for destroying persistence volume, which kubernetes test do similar things on destroy: https://github.com/kubernetes/kubernetes/blob/master/test/e2e/framework/util.go#WaitForPersistentVolumeDeleted"
948,Add kubernetes_role resource (#226),Add kubernetes_role resource - a new resource to allow the management of module resources in Terraform.
949,Update changelog for #249 and #252 (#257),  Update changelog for #249   Update changelog for #252 
950,Add support for volumeBindingMode in storageClass (#266), Add support for volumeBindingMode in storageClass
951,Typos fix (#264), Typos fix
952,GKE test infra writes kubeconfig file (#259), GKE test infra writes kubeconfig file
953,add kubernetes_secret datasource (#243),adds data_source_kubernetes_secret https://github.com/terraform-providers/terraform-provider-kubernetes/issues/241
954,Fix the id of storage class when update (#239),
955,Fix updates of stateful set images (#252),  Add acceptance test to demonstrate issue with stateful set image updates   Fix stateful set template spec updates 
956,Add allow_privilege_escalation to container security contexts attributes (#249),"Add allow_privilege_escalation property to container security context, update documentation and acceptance tests"
957,Add argument doc (#253),
958,"Revert ""Fix formatting issues""",This reverts commit 7acf8d56631895e245aba829e7751ba2145cccbb.
959,Fix formatting issues,
960,Fix Deployment acceptance tests (#248),
961,Convert returned types to pointers (#231),Convert returned types to pointers
962,Update CHANGELOG.md,
963,Cleanup after v1.4.0 release,
964,v1.4.0,
965,"PVCs: expose 'wait_until_bound' only on stand-alone PVCs, not embedded ones (#234)",
966,Bring back 'wait_until_bound' parameter on PVCs (#232),
967,Complete run of terrafmt.rb - format inline HCL in ACC tests (#230),
968,New resource: StatefulSets - CRUD & acceptance tests (#203), StatefulSets - Create/Read/Update/Destroy StatefulSet acceptance tests Documentation for StatefulSet
969,Fix deployment acc tests (#228),  Constantize test resource name   Fix detection of K8S config context & be aware of KUBECONFIG env var   Scale down deployment tests to fit GKE tighter resource constraints   Pin down cluster node instance type 
970,Kops on AWS test env - create state S3 bucket via Terraform (#223), Kops on AWS test env - create state S3 bucket via Terraform
971,Fix example configuration for ServiceAccount token automount test. (#222),
972,Add ReclaimPolicy attribute to Storage class (#213),  feat(StorageClass): add ReclaimPolicy attribute   doc(StorageClass): add new attribute reclaim_policy   chore(format): reindent resource_kubernetes_storage_class.go 
973,Wait for deployment rollout status (#211), Wait for deployment rollout status  replicationcontrollers are not created for a deployment. So we need to wait for the deployment itself to finish.
974,Fix deployment selector documentation (#209),This is actually Optional: https://github.com/terraform-providers/terraform-provider-kubernetes/blob/6d4babb71bd11c58542970a69d67f0a82e52c5aa/kubernetes/resource_kubernetes_deployment.go#L81
975,Fix deployment selector description (#208),Description taken from https://github.com/terraform-providers/terraform-provider-kubernetes/blame/13b7e681cd620f8344395aa8fdbc29b4af590cfe/website/docs/r/deployment.html.markdown#L99
976,Allow automount service account token on the service account resource (#198),
977,Remove maintainer section with broken link (#197),Linked to #178
978,Bump Go version to 1.10 on Travis CI. (#196),  Bump Go version to 1.10 on Travis CI.   Try exact Go version   Quotes around Go version 
979,Add documentation for kubernetes_deployment resource (#194),  Add documentation for kubernetes_deployment resource   Docs - convert verbatim URLs to hyperlinks.   Fix broken links 
980,Cleanup after v1.3.0 release,
981,v1.3.0,
982,Update CHANGELOG.md,
983,Fix Deployment attributes expansion (#191),  Fix Deployment attributes expansion   Bubble up errors from expandPodTemplate   Refresh deployment on metadata returned by Create call   Deployment acceptance tests   Replace Create timer-based waiter with a resource.RetryFunc 
984,Merge pull request #82 from pdecat/f-container-env_from,Add support for envFrom on container definitions
985,Merge pull request #73 from micahhausler/f-k8s-clusterrolebinding,Add support for ClusterRoleBinding
986,Tests: ServiceAccount subjects don't belong to the default RBAC API group.,
987,Fix patch operations on resource update + other small fixes,
988,Add acceptance test,
989,Fix bool pointers conversions,
990,Implement env_from reverse mapping,
991,Implement env_from mapping,
992,Add env_from to pod and replication_controller documention,
993,Add EnvFrom to container schema as env_from,
994,Merge pull request #101 from nickschuch/deployment,Deployment
995,Adapt package import paths for newer K8S client library,
996,Document minikube settings,
997,Auto configure cluster node CPU and RAM size based on host sizes,
998,Minikube on KVM at Packet,
999,Cleanup after v1.2.0 release,
1000,v1.2.0,
1001,Fix link to storage class parameters,
1002,Fix basic auth example in docs,
1003,Update README.md,
1004,Updated example of providers block,
1005,Update CHANGELOG.md,
1006,Modify secret example per k8s docs,See https://kubernetes.io/docs/concepts/containers/images/#specifying-imagepullsecrets-on-a-pod Fixes #79
1007,Update vendored libraries,
1008,Fix Flex persistent volume flattener/expander functions after upgrade of k8s libs to 1.9,
1009,Update github.com/terraform-providers/terraform-provider-kubernetes to use k8s/client-go 1.9.0,Based on nickschuch/terraform-provider-kubernetes@aaff7e9.
1010,README.md: correct provider organization & missing repository name,
1011,Update CHANGELOG.md,
1012,add support for init containers,only allow container spec image to be updated by non-init containers add acceptance checks for forced new add acceptance test to Replication Controller
1013,make: Add website + website-test targets,
1014,Update CHANGELOG.md,
1015,switch target_port to string,
1016,Update CHANGELOG.md,
1017,Update CHANGELOG.md,
1018,add forcenew on env var value field,add acc test
1019,switch targetPort to string in schema,new acceptance test update docs to reflect targetPort is optional
1020,Update CHANGELOG.md,
1021,simplify test config,
1022,acceptance test for new name validation,
1023,change name validator to DNS1123 subdomain,
1024,Update CHANGELOG.md,
1025,configure timeouts for create and delete,
1026,add timeouts to pod resource,
1027,Cleanup after v1.1.0 release,
1028,v1.1.0,
1029,Refactor labelSelector schema and its flatteners/expanders functions for reuse (#140),  Move labelSelector schema and its flatteners/expanders functions out of persistant volume claims files to their own files for reuse   Simplify code 
1030,Update CHANGELOG.md,
1031,Fix failing test,
1032,resource/kubernetes_persistent_volume: Mark persistent_volume_source as ForceNew on 1.9+,
1033,vendor: github.com/hashicorp/terraform/...@v0.11.4,
1034,New resource: Deployment,
1035,Merge pull request #162 from cosmopetrich/kube-client-1.10,Upgrade k8s client libs to 1.10
1036,Merge pull request #187 from terraform-providers/fix-packet-infra,KVM minikube cluster on Packet
1037,Document minikube settings,
1038,Auto configure cluster node CPU and RAM size based on host sizes,
1039,Minikube on KVM at Packet,
1040,Cleanup after v1.2.0 release,
1041,v1.2.0,
1042,Merge pull request #180 from coryflucas/patch-1,Fix link to storage class parameters
1043,Fix link to storage class parameters,
1044,Merge pull request #179 from mrolla/fix-documentation,Fix basic auth example in docs
1045,Fix basic auth example in docs,
1046,Update README.md,
1047,Merge pull request #170 from antonbabenko/updated-example,Updated example of providers block
1048,Updated example of providers block,
1049,Update CHANGELOG.md,
1050,Merge pull request #165 from terraform-providers/doc-fix,Modify secret example per k8s docs
1051,Modify secret example per k8s docs,See https://kubernetes.io/docs/concepts/containers/images/#specifying-imagepullsecrets-on-a-pod Fixes #79
1052,Update vendored libraries,
1053,Fix Flex persistent volume flattener/expander functions after upgrade of k8s libs to 1.9,
1054,Update github.com/terraform-providers/terraform-provider-kubernetes to use k8s/client-go 1.9.0,Based on nickschuch/terraform-provider-kubernetes@aaff7e9.
1055,README.md: correct provider organization & missing repository name,
1056,Update CHANGELOG.md,
1057,Merge pull request #156 from appilon/61-init-containers,r/kubernetes_pod: add support for init containers
1058,add support for init containers,only allow container spec image to be updated by non-init containers add acceptance checks for forced new add acceptance test to Replication Controller
1059,Merge pull request #160 from terraform-providers/f-make-website,make: Add website + website-test targets
1060,make: Add website + website-test targets,
1061,Update CHANGELOG.md,
1062,Merge pull request #159 from appilon/fix-service-datasource,d/kubernetes_service: fix broken schema
1063,switch target_port to string,
1064,Update CHANGELOG.md,
1065,Merge pull request #155 from appilon/98-container-env-force-new,r/kubernetes_pod: env var value change forces new pod
1066,Update CHANGELOG.md,
1067,Merge pull request #154 from appilon/134-target_port-string-or-int,r/kubernetes_service: Switch targetPort to string
1068,add forcenew on env var value field,add acc test
1069,switch targetPort to string in schema,new acceptance test update docs to reflect targetPort is optional
1070,Update CHANGELOG.md,
1071,Merge pull request #152 from appilon/87-k8s-secret-fix-validation,validators: change label validation to DNS1123 subdomain
1072,simplify test config,
1073,acceptance test for new name validation,
1074,change name validator to DNS1123 subdomain,
1075,Update CHANGELOG.md,
1076,Merge pull request #151 from appilon/91-k8s-pod-timeout,r/kubernetes_pod: Add timeout to pod resource
1077,configure timeouts for create and delete,
1078,add timeouts to pod resource,
1079,Cleanup after v1.1.0 release,
1080,v1.1.0,
1081,Refactor labelSelector schema and its flatteners/expanders functions for reuse (#140),  Move labelSelector schema and its flatteners/expanders functions out of persistant volume claims files to their own files for reuse   Simplify code 
1082,Update CHANGELOG.md,
1083,Merge pull request #139 from terraform-providers/b-pvs-forcenew-19,resource/kubernetes_persistent_volume: Mark persistent_volume_source as ForceNew on 1.9+
1084,Fix failing test,
1085,resource/kubernetes_persistent_volume: Mark persistent_volume_source as ForceNew on 1.9+,
1086,Merge pull request #148 from terraform-providers/vendor-tf-0.11.4,vendor: github.com/hashicorp/terraform/...@v0.11.4
1087,vendor: github.com/hashicorp/terraform/...@v0.11.4,
1088,Add support for ClusterRoleBinding,
1089,Update CHANGELOG.md,
1090,Merge pull request #135 from terraform-providers/b-label-vals-invalid,resource/*: Treat non-string label values as invalid
1091,Update CHANGELOG.md,
1092,Merge pull request #136 from terraform-providers/b-pod-bump-timeout,resource/kubernetes_pod: Bump timeout to 5 mins
1093,Merge pull request #137 from terraform-providers/t-kops-dns-check,test-infra: Add DNS check to kops
