Index,Release Note,Release Note With Abstraction
41,"Changed

Fix rawDiscountFor method by @driesvints in https://github.com/laravel/cashier-stripe/pull/1325
Fix swapping metered price of subscription item by @pietrantonio91 in https://github.com/laravel/cashier-stripe/pull/1328
","Changed
Fix rawDiscountFor method by @driesvints in link
Fix swapping metered price of subscription item by @pietrantonio91 in link"
42,"Fixed

Fallback to null quantity for metered price when swapping a subscription (#1319)
","Fixed
Fallback to null quantity for metered price when swapping a subscription (#1319)"
43,"Fixed

Prevent duplicate subscription creation (#1308)﻿
","Fixed
Prevent duplicate subscription creation (#1308)﻿"
44,"Added

Implement invoice renderer (#1304)﻿
","Added
Implement invoice renderer (#1304)﻿"
45,"Added

Implement invoice renderer (#1304)﻿
","Added
Implement invoice renderer (#1304)﻿"
46,"Added

Laravel 9 support (#1302)﻿
","Added
Laravel 9 support (#1302)﻿"
47,"Added

Add deletePaymentMethod (#1298)

Changed

Laravel 9 Support (#1299)
","Added
Add deletePaymentMethod (#1298)
Changed
Laravel 9 Support (#1299)"
48,"Changed

Simplify cancelation check (#1283)
Rename cancelled to canceled (#1284)
Allow latest moneyphp version (#1280, #1286)

Fixed

Fix factory canceled state (#1282)﻿
","Changed
Simplify cancelation check (#1283)
Rename cancelled to canceled (#1284)
Allow latest moneyphp version (#1280, #1286)
Fixed
Fix factory canceled state (#1282)﻿"
49,"Added

Add createAndSendInvoice method (#1276)

Changed

Allow the base url for the Stripe API to be customised (#1273)﻿
","Added
Add createAndSendInvoice method (#1276)
Changed
Allow the base url for the Stripe API to be customised (#1273)﻿"
50,"Fixed

Fix enabling auto collecting in checkout (#1270)﻿
","Fixed
Fix enabling auto collecting in checkout (#1270)﻿"
51,"Fixed

Fix confirming payments on the payment page (#1268)﻿
","Fixed
Fix confirming payments on the payment page (#1268)﻿"
52,"Fixed

Handle Stripe Object lock timeout (#1259)﻿
","Fixed
Handle Stripe Object lock timeout (#1259)﻿"
