Index,Release Note,Release Note With Abstraction
82,"
Touch Bar support. https://github.com/sindresorhus/caprine/commit/ebd04764def37a066f605897a47d94f0d4ad77f4
Added menu bar item to toggle the button when composing a message. https://github.com/sindresorhus/caprine/commit/be5c2c143f887a87ac9041185f6494fb80c00917
Added messenger menu options to the ""View"" menu. https://github.com/sindresorhus/caprine/commit/5a496923e72f421c04ce5a94390c58b73e949a29
Fixed keyboard shortcut for archiving group conversations. https://github.com/sindresorhus/caprine/commit/a41de6a7a0358513ad9127ec9c41a754d0467cb7
Fixed mute notifications setting on startup. https://github.com/sindresorhus/caprine/commit/5a9053819006c022dde077bcbc8fb37ca06c1174
No longer opens the window at launch if it was set to launch as hidden on macOS. https://github.com/sindresorhus/caprine/commit/e37bc9fe5b5ec1a238c0b9a8ef4b7f010cc77eef

https://github.com/sindresorhus/caprine/compare/v2.11.0...v2.12.0","Touch Bar support. link
Added menu bar item to toggle the button when composing a message. link
Added messenger menu options to the ""View"" menu. link
Fixed keyboard shortcut for archiving group conversations. link
Fixed mute notifications setting on startup. link
No longer opens the window at launch if it was set to launch as hidden on macOS. link
link"
83,https://github.com/sindresorhus/caprine/compare/v2.10.0...v2.11.0,link
84,https://github.com/sindresorhus/caprine/compare/v2.9.0...v2.10.0,link
85,https://github.com/sindresorhus/caprine/compare/v2.8.0...v2.9.0,link
86,"
The Linux AppImage binary now auto-updates.
Updated Electron to 1.7.9.
Added option to launch minimized on Linux and Windows.
The ""Toggle Sidebar"" option is now persisted between app runs.
Lots of dark mode fixes.

https://github.com/sindresorhus/caprine/compare/v2.7.1...v2.8.0","The Linux AppImage binary now auto-updates.
Updated Electron to 1.7.9.
Added option to launch minimized on Linux and Windows.
The ""Toggle Sidebar"" option is now persisted between app runs.
Lots of dark mode fixes.
link"
87,https://github.com/sindresorhus/caprine/compare/v2.7.0...v2.7.1,link
88,"Changes
https://github.com/sindresorhus/caprine/compare/v2.6.2...v2.7.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
89,"Changes

Fix conversation action shortcuts (mute, archive, delete). https://github.com/sindresorhus/caprine/commit/a332d720c7fd54817412a8e5527938259fe1441a
Dark mode improvements. https://github.com/sindresorhus/caprine/commit/0dba77d0a9f895b63f9458b0d6ee4257e792b98b

https://github.com/sindresorhus/caprine/compare/v2.6.1...v2.6.2
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
Fix conversation action shortcuts (mute, archive, delete). link
Dark mode improvements. link
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
90,"Changes
Hopefully fixes annoying Cmd/Ctrl+V issue: https://github.com/sindresorhus/caprine/issues/258
https://github.com/sindresorhus/caprine/compare/v2.6.0...v2.6.1
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
Hopefully fixes annoying Cmd/Ctrl+V issue: link
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
91,"Changes

Disabled the ""Image paste confirmation"" feature temporarily as its dependency is causing havoc. https://github.com/sindresorhus/caprine/commit/711c24dd41ff9642f6e366760f0b7e14e3569066
Added beautiful Tomorrow themes for code blocks. https://github.com/sindresorhus/caprine/commit/5cf374add0709d77b9a5aa9520897c7538e0ed2a
Added ""Insert emoji"" shortcut. https://github.com/sindresorhus/caprine/commit/3ec156b9022a16317370714eec1bca51f376d944

https://github.com/sindresorhus/caprine/compare/v2.5.0...v2.6.0
Install
(64-bit only)

macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb


Windows
","Changes
Disabled the ""Image paste confirmation"" feature temporarily as its dependency is causing havoc. link
Added beautiful Tomorrow themes for code blocks. link
Added ""Insert emoji"" shortcut. link
link
Install
(64-bit only)
macOS
Linux:
AppImage (Recommended)Needs to be made executable after download.
deb
Windows"
