Index,Message,Description
360,Ensure Packager uses at least Galactus 0.2.1,
361,Use a Set instead of a Map to store pruneable modules,
362,Upgrade yargs-parser to ^10.0.0,
363,12.0.0,
364,Merge pull request #819 from electron-userland/prune-via-js-only,Drop packageManager support & refactor pruning to be part of the copy filter
365,Refactor pruning to be part of the copy filter,
366,11.2.0,
367,Merge pull request #814 from electron-userland/optional-sequential-hooks,Add a utility function to execute hooks serially
368,Less code duplication in hook tests,
369,Add a utility function to execute hooks serially,
370,11.1.0,
371,Merge pull request #807 from malept/login-helper,Add MAS Login Helper support
372,Pre-download the MAS version being tested,
373,Add support for customizing the login helper on MAS,See: https://github.com/electron/electron/pull/10856
374,Add more ESLint config,
375,Upgrade eslint-config-standard to 11.0.0,
376,11.0.1,
377,Merge pull request #805 from electron-userland/help-to-stdout,Send usage text to stdout if --help specified
378,Send usage text to stdout if --help specified,Fixes #802.
379,Merge pull request #804 from electron-userland/rcedit-1.0.0,Upgrade rcedit to 1.0.0
380,Upgrade rcedit to 1.0.0,
381,"Upgrade yargs-parser, ava, & eslint-plugin-node",
382,11.0.0,
383,Merge pull request #800 from electron-userland/mips64el-support,Add support for official MIPS64EL arch on Linux
384,Add docs for mips64el support,[ci skip]
385,Add support for official MIPS64EL arch on Linux,
386,Add link to electron-installer-snap,[ci skip]
387,Merge pull request #795 from malept/codecov,Replace coveralls with codecov
388,Replace coverage badge in readme,
389,Remove a now unnecessary istanbul ignore directive,
390,Use codecov instead of coveralls,
391,10.1.2,
392,Merge pull request #794 from electron-userland/overwrite-with-default-platform-arch,Fix overwrite when default platform/arch are used
393,Fix overwrite when default platform/arch are used,Fixes #792.
394,Add common function to ensure certain values are Arrays,
395,Drop non-CLI uses of var,
396,Move download-related code to its own file,
397,Normalize methods that return Promises,
398,Merge pull request #786 from dr-js/patch-1,Fix protocols API docs
399,Rewrite protocols docs to be clearer,[ci skip]
400,Fix OS X protocols options in api.md,related issue: https://github.com/electron-userland/electron-packager/issues/643
401,Add note that multiple functions for a given hook are parallelized,[ci skip]
402,Use Array.prototype.some,
403,Parallelize most of the ignore tests,
404,Tweak coverage-ignored code,
405,Add smoketest for win32 icons,
406,Move compare links in NEWS to their respective sections,[ci skip]
407,10.1.1,
408,Merge pull request #783 from electron-userland/fix-arm-hostarch,Fix ARM detection on armv7l Node
409,Merge pull request #784 from electron-userland/yarn-prune-no-lockfile,Don't create yarn.lock when pruning with Yarn
410,Fix ARM detection on armv7l Node,Several versions of Node for armv7l incorrectly identify as module. See: https://github.com/nodejs/node/issues/4531 and related
411,Don't create yarn.lock when pruning with Yarn,Fixes #764.
412,Merge pull request #781 from malept/use-ava,Use AVA instead of tape
413,Move testsuite setup outside of AVA for CI,
414,Infer tests can be parallelized,
415,Use module.exports,
416,Make sure name inferring is tested,
417,Fix test description,
418,Use the global timeout,
419,Fix Linux-specific tests,
420,"Readd test index, cleanup test timeouts",
421,Run packager tests serially,
422,Convert testsuite to AVA,
423,Travis: no longer need to force install a specific NPM version,
424,Merge pull request #780 from electron-userland/fs-extra-5,Upgrade fs-extra to ^5
425,Upgrade fs-extra to ^5,
426,Merge pull request #772 from barinali/issue-767,Add electron-packager-languages in README
427,Fix link/copy for electron-packager-languages,
428,Add electron-packager-languages in README,
429,Add electron-windows-store and electron-wix-msi to the readme,[ci skip]
430,Add a table of contents to the readme (#766),[ci skip]
431,"No need to run darwin tests for mas builds, it's the same codepath",
432,Ignore certain code for code coverage purposes; remove unnecessary property,
433,Fix alphabetization of dependencies,
434,Fix version link in NEWS,[ci skip]
435,10.1.0,
436,Merge pull request #759 from mironal/fix-mz-dependencies,fix mz dependencies
437,fix mz dependencies,
438,Merge pull request #758 from electron-userland/custom-executable-name,Add option to set the executable name separate from the app name
439,Add option to set the executable name separate from the app name,Fixes #745.
440,10.0.0,
441,Merge pull request #755 from electron-userland/better-ci-caching,Cache node_modules instead of the NPM cache
442,Cache node_modules instead of the NPM cache,
443,Update asar to 0.14.0,
444,Merge pull request #753 from malept/finish-promisifying,Finish promisification refactor
445,Fix prune tests,
446,Rename property to be less ambiguous,
447,Refactor handling hooks,
448,In-function requires no longer necessary,
449,Refactor most of index.js into a Packager class,
450,Reorganize the exported common functions,
451,Rename/move the relative rename function to App,
452,Rename & move normalizeExt into the App class,
453,Promisify infer,
454,Promisify/classify & remove run-series,
455,Travis CI: fix build matrix,
456,CI: allow Node 9 to fail,See: https://github.com/nodejs/node/issues/16781
457,Use endsWith instead of RegExp,
458,"Point AppVeyor's badge to master, just like Travis's",[ci skip]
459,Merge pull request #747 from electron-userland/only-test-against-supported-node-versions,Only test against supported Node versions
460,Only test against supported Node versions,"Electron Packager only supports Node versions which are supported the Node.js team, when testing via CI See: https://github.com/nodejs/Release"
461,Merge pull request #746 from electron-userland/probot-config,Add probot config
462,Add config for probot's no-response bot,[ci skip]
463,Add config for Probot's welcome bot,[ci skip]
464,Move issue/pull request templates to .github,[ci skip]
465,Update Standard JS URL,[ci skip]
466,Upgrade coveralls and yargs-parser,
467,Merge pull request #732 from electron-userland/use-yargs-parser,Replace minimist & camelize with yargs-parser
468,Replace minimist & camelize with yargs-parser,
469,9.1.0,
470,Merge pull request #731 from electron-userland/add-faq,Add initial FAQ
471,Add initial FAQ,[ci skip]
472,Merge pull request #727 from electron-userland/target-arch-api,Add target arch API
473,Add allOfficialArchsForPlatformAndVersion(),
474,Add hostArch from Electron Forge,
475,Merge pull request #722 from electron-userland/clean-up-cli,Clean up CLI options/docs
476,Deprecate --tmpdir=false in favor of --no-tmpdir,
477,Standardize on --no- instead of =false,
478,Add warnings for nonstandard argument usage,
479,Document --no-deref-symlinks instead of --deref-symlinks,
480,Make assertion clearer,
481,Clarify some CLI option usage, module can be specified multiple times Explicitly mention module for module Document module  [ci skip]
482,9.0.1,
483,Merge pull request #719 from electron-userland/fix-infer-with-author-object,Fix inferring module when author is an Object
484,Fix inferring module when author is an Object,Fixes #718.
485,9.0.0,
486,Add ARM64 support (#711),"With https://github.com/electron/electron/pull/10219 merged, ARM64 support is likely to be official starting with the Electron 1.8 release series. This adds basic official support for the arch, plus adds it to the platform/arch combinations when module is true or module and module is set, and the specified version of Electron is 1.8.0 or above."
487,Upgrade debug to 3.x,
488,Fix common.warning for codesigning,Fixes #694.
489,Upgrade fs-extra to ^4.0.0,
490,Add explicit files for SUPPORT and CODE_OF_CONDUCT,[ci skip]
491,Merge pull request #690 from electron-userland/use-pruner,Add option to use custom pruning module
492,Travis: force install NPM 5.1.0,
493,Standardize docs for packageManager=false,
494,Bump pruner to node4 compat,
495,"Add NEWS entry, test, & Node 4 compatibility",
496,Add option to use custom pruning module to avoid package manager specific issues,
497,Travis: Force installing Node >= 5.1.0 on Node8/OSX,
498,Better filename reference,[ci skip]
499,Fix internal readme link,[ci skip]
500,Add related Electron installer modules & a note about distributables,[ci skip]
501,Readme: be more generic about zipped minimal Electron app size,Closes #683.
502,Merge pull request #678 from electron-userland/no-bin,Do not add .bin folders when pruning
503,Forward-port 8.7.2 NEWS entry,[ci skip]
504,Do not add .bin folders when pruning,
505,"Upgrade eslint, eslint-plugin-node, & nyc",
506,Add 8.7.1 NEWS entry,[ci skip]
507,Merge pull request #677 from electron-userland/after-prune,Add afterPrune hook
508,Add afterPrune hook,
509,Merge pull request #675 from electron-userland/extra-resources-for-all-platforms,Add extraResource support to all platforms
510,Add extraResource support to all platforms,Fixes #637.
511,Merge pull request #673 from electron-userland/spaces-in-platform-arch-options,Allow spaces for string-based arch/platform lists
512,Merge pull request #670 from electron-userland/custom-arches-from-custom-mirrors,Warn when using an invalid arch/platform combo
513,Allow spaces for string-based arch/platform lists,Fixes #487.
514,Add NEWS entries & docs,[ci skip]
515,"Do not use destructuring, it only exists in Node >= 6",
516,Warn when using an invalid arch/platform combo,"It already errors when the arch/platform is not recognized, this is the case where the combination is not supported by Electron, e.g. armv7l/darwin. Also allows for non-official archs/platforms when a download.mirror is specified. Fixes #562."
517,Add GitHub PR numbers to recent NEWS entries,[ci skip]
518,Merge pull request #669 from electron-userland/camel-case-only-options,Remove support for hyphenated option names via JS API
519,Remove support for hyphenated option names via JS API,They have been replaced with camelCased names. CLI options remain the same.
520,Merge pull request #668 from electron-userland/rip-version-string,Remove deprecated version-string option
521,Remove deprecated version-string option,
522,Merge pull request #667 from electron-userland/win32metadata-defaults,Infer win32metadata from package.json/top-level options
523,"Default FileDescription to opts.name, not package description",Per comments in #667.
524,Add NEWS entries for win32metadata defaults,
525,Infer win32metadata from package.json/top-level options,Closes #297. Fixes #611.
526,Fix usage docs for requested-execution-level & application-manifest,[ci skip]
527,Merge pull request #665 from electron-userland/rip-version,Remove deprecated version option
528,Add unit test for deprecatedParameter,
529,Remove deprecated version option,
530,Merge pull request #666 from electron-userland/clean-up-mac-tests,Clean up macOS tests
531,DRY up Info.plist/Resources tests,
532,ES2015ify Mac tests,
533,Fix el0374Opts to not hardcode platform,
534,Add comment explaining why the 0.37.4 test exists,
535,Merge pull request #658 from electron-userland/promisify,Promisify tests and packager function
536,Force test Electron binary downloads to go to the old cache dir,
537,Add docs,[ci skip]
538,Promisify the packager function itself,
539,Fix assert ordering,
540,Use fs.pathExists instead of fs.exists,
541,Use newer function syntax in mac tests,
542,Replace series with Promises in testsuite,
543,Add proper support for eslint-plugin-promise,
544,Remove unused waterfall module,
545,Replace waterfall with Promises in mac tests,
546,Replace waterfall with Promises in basic tests,
547,Replace waterfall with Promises in hooks tests,
548,Replace waterfall with Promises in asar tests,
549,Fix linting for test/win32,
550,Replace waterfall with Promises in win32 tests,
551,Replace waterfall with Promises in multitarget tests,
552,Replace series/waterfall with Promises in ignore tests,
553,Replace waterfall with Promises in infer tests,
554,Merge pull request #664 from electron-userland/disable-node-8-osx,"Travis: Re-enable Node 5/OSX, Downgrade to npm@4 for Node 8/OSX"
555,Force npm@4 for Node 8/OSX,"module (strangely, just on OSX) doesn't install modules correctly for some reason. Example: https://travis-ci.org/electron-userland/electron-packager/jobs/239192709"
556,Travis: Don't ignore Node 5/OSX builds anymore,Closes #598.
557,CI: test against Node 8,
558,Update pkg-up to 2.x.x,
559,Fix typo in NEWS,[ci skip]
560,Update package description,
561,8.7.0,
562,Upgrade fs-extra to 3.0.0,
563,Upgrade eslint-*-standard,
564,Merge pull request #610 from dmascord/master,Add support for updating the application manifest and requested execution level for Windows targets
565,Update rcedit support based on final merged upstream PRs,
566,Add ability to override requested execution level for win32,
567,Fix bug with tmpdir=false and extract-zip >= 1.6.1,extract-zip now requires an absolute path for the output directory.
568,Merge pull request #618 from hrkt/add-package-manager-option,Add package-manager option
569,Add cnpm support and refactor,
570,Add package-manager option,
571,Fix multitarget test on AppVeyor,
572,Travis: add note about not using Trusty containers,[ci skip]
573,Camel case some parameters referenced in messages,
574,8.6.0,
575,Upgrade rcedit to 0.8.0,
576,Fix link to version docs,
577,Remove debugging statements,
578,Merge pull request #612 from electron-userland/simplify-win32-tests,Avoid testing how rcedit works and just test the rcedit option transform
579,Avoid testing how rcedit works and just test the rcedit option transform,
580,More docs fixes due to the API naming change,[ci skip]
581,Merge pull request #609 from electron-userland/eslint-config-standard-7,Upgrade eslint-config-standard to 7.0.0
582,Remove more references to hyphenated options,[ci skip]
583,Upgrade eslint-config-standard to 7.0.0,
584,Merge pull request #608 from electron-userland/electron-prebuilt-compile,Limited support for inferring electron-prebuilt-compile
585,Ignore electron-prebuilt-compile,
586,Add limited support for electron-prebuilt-compile,"Since you can't run module, inferring is limited to exact Electron versions in module."
587,Move all of the infer code to their own files,
588,Cleanup metadata functions,
589,Cleanup electron version inferring tests,
590,Move getMetadata to common.js,
591,Merge pull request #605 from electron-userland/standard,Always return an Error or null in node-style callbacks
592,Always return an Error or null in node-style callbacks,This will be a style error in the next version of standard (v10).
593,Merge pull request #580 from j-f1/camel-case-api,Use camelCase identifiers in the JS API
594,Add test for the camelCase function,
595,Fix up NEWS entries,
596,Use camelCase identifiers in the JS API,
597,8.5.2,
598,Merge pull request #601 from electron-userland/infer-platform-arch-in-readme,Infer platform/arch in readme instead of using --all
599,Merge pull request #600 from electron-userland/reject-app-names-ending-with-helper,"Prevent app names ending with "" Helper"""
600,Infer platform/arch in readme instead of using --all,This changes the default recommendation to use Packager to build bundles for a given target platform on the same host platform. [ci skip]
601,"Prevent app names ending with "" Helper""",Fixes #545.
602,Merge pull request #599 from electron-userland/ignore-travis-node5-osx-worker,Ignore Travis Node 5 + OSX worker due to strange problem
603,Ignore Travis Node 5 + OSX worker due to strange problem,
604,Merge pull request #596 from electron-userland/ignore-tmpdir,Ignore the generated temporary directory on Linux
605,Dup DEFAULT_IGNORES to avoid mutating the constant,
606,Add some notes about Node 6 features,
607,Ignore the generated temporary directory,"Also, put the building of the temporary directory path into its own function. Fixes #548."
608,Merge pull request #595 from electron-userland/eslint-plugin-tape,Add eslint-plugin-tape for tape test linting
609,Add eslint-plugin-tape for tape test linting,
610,Merge pull request #593 from electron-userland/warn-is-a-warning,Prepend all warning messages with 'WARNING:'
611,Prepend all warning messages with 'WARNING:',
612,Merge pull request #581 from electron-userland/coc,Mention the community CoC & update issue/PR templates
613,Add HTML comment to GitHub templates for basic checkbox instructions,[ci skip]
614,Add checkboxes to the issue/PR templates,[ci skip]
615,Add link to CoC & section about community questions,
616,Update asar/electron-download/fs-extra dependencies,
617,Set theme jekyll-theme-cayman,
618,Make a note of the newer name for OS X in the readme,[ci skip]
619,8.5.1,
620,Clarify derefSymlinks docs,Fixes #561.
621,Add CLI option name to deprecatedParameter message (#560),Fixes #559.
622,Make it more obvious that --electron-version is the new CLI option,
623,8.5.0,
624,Merge pull request #547 from electron-userland/electron-version,Add electronVersion option & deprecate version
625,Add lint npm script,
626,Add electronVersion option & deprecate version,
627,Note what the default value of build-version is in the API docs,[ci skip]
628,Add link to electron-rebuild,[ci skip]
629,Add DependencyCI badge,Fixes #343.
630,Add electron-forge link,
631,Upgrade nyc dependency,
632,8.4.0,
633,Add quiet option (#541),"When set, this prevents printing Electron Packager specific warnings and informational messages to the console. This does not disable errors. Fixes #538."
634,Merge pull request #534 from electron-userland/list-option-type-checking,Better type checking when validating arch/platform
635,Better type checking when validating arch/platform,"Validate that arch/platform is not passed anything but an Array or a String, and generate an Error to that effect."
636,Add note about not version bumping in PRs,[ci skip]
637,Add get-package-info to the list of packages that use DEBUG,[ci skip]
638,8.3.0,
639,Upgrade nyc to 9.0.0,
640,Upgrade fs-extra to 1.0.0,
641,Clarify icon docs: local paths only,[ci skip]
642,CI: build against Node 7,
643,Merge pull request #384 from sethlu/osx-sign-pass-electron-version,Upgrade electron-osx-sign to 0.4.1
644,Pass Electron version to electron-osx-sign,
645,Clarify symlink error message for Windows,
646,8.2.0,
647,Fix eslint warnings,
648,Update get-package-info to 1..0. (#505),"This includes more helpful errors when failing to find all info requested, which lets us give better error messages, as well as ignore missing props for optional options. Fixes #461, #513."
649,Merge pull request #510 from kwolfy/master,fix typo in extend-info and add support object params
650,Upgrade eslint-plugin-promise,
651,Update extend-info docs,[ci skip]
652,object params support for extend-info,
653,fix typo in extend-plist,
654,8.1.0,
655,Default build version to app version  on Windows (#501),Fixes #498.
656,Merge pull request #494 from electron-userland/travis-mac-oom,Fix Travis Mac builds
657,Add checksum checking to news,
658,Add download.quiet to news,
659,Expose a download.quiet option,
660,Run invalid version test quietly on CI,
661,Don't show progress bar on CI,
662,Merge pull request #491 from electron-userland/ignore-object-files,Add object files to default ignore patterns
663,Merge pull request #493 from electron-userland/shasum-downloads,Upgrade to electron-download@3.0 for SHASUM256.txt checking
664,Upgrade to electron-download@3.0,
665,Add docs,
666,Add object files to default ignore patterns,Avoid the step of having to ignore .o files when signing the app for OSX. Also ignore Windows .obj files.
667,Fix comment typo,
668,Merge pull request #484 from malept/packager-test-wrapper,DRY up some test code
669,Merge pull request #481 from malept/dependency-bump,Update dependencies
670,DRY verifyPackageExistence,
671,DRY tests that call packager(),
672,Update dependencies,
673,8.0.0,
674,Merge pull request #474 from malept/add-arm-support,Add Linux ARMv7 support
675,Add Linux ARMv7 support,
676,DRY up electron-download related code,
677,Refactor target arch/platform parsing,
678,Merge pull request #477 from malept/sanitize-out-ignores,Sanitize ignores created when the output dir resolves to CWD
679,ES6ify test/ignore.js,
680,Refactor ignore code into its own file,
681,Move out ignore generation to its own function,
682,Sanitize out option ignore paths,
683,Default the prune option to true (#472),Addresses #35.
684,Merge pull request #475 from electron-userland/upgrade-asar,Upgrade asar for multibyte character in path support
685,Upgrade to asar@0.12.3,
686,Merge pull request #464 from malept/default-platform-and-arch,Add default values to arch and platform
687,Add default values to arch and platform,The defaults are the host's arch and platform values. Fixes #36.
688,Upgrade rcedit and asar (#467), Upgrade to asar@0.12.2 Upgrade to rcedit@0.7.0
689,Merge pull request #471 from electron-userland/add-more-debug-logging,Add more debug logging
690,Remove special path characters from app name in filenames (#455),Fixes #308.
691,Add more debug logging,
692,Merge pull request #463 from malept/win32metadata-option,Rename version-string option to win32metadata
693,Deprecate module in favor of module,
694,Enable the rest of the rcedit tests on Travis OSX,
695,ES6ify test/win32.js,
696,Merge pull request #468 from electron-userland/debug-ci-failures,Debug Travis CI failures
697,Log options when debug is enabled,
698,Move logging into operation function,
699,Mention DEBUG setting is temporary,
700,Revert err check before createApp call,
701,Add initializing debugging,
702,Debug log download details,
703,Set DEBUG env var on Travis,
704,Add more debug calls,
705,Adjust readme due to app-version changes, Move Wine instructions to the installation section Add note about inferring app-version in example
706,issue template: clarify testcase instructions,
707,Merge pull request #462 from electron-userland/remove-deprecated-options,Remove deprecated options for asar & electron-download
708,Remove deprecated options for asar & electron-download,
709,7.7.0,
710,Add more instructions to the release process,[ci skip]
711,Merge pull request #459 from electron-userland/disallow-osx-sign-binaries,Disallow setting osx-sign.binaries
712,Disallow setting osx-sign.binaries,Closes #285.
713,Infer --app-version from package.json (#449), Default app/build version to package.json version npm install wine on travis macs git ignore npm-debug.log  Fixes #306.
714,CONTRIBUTING: clarify when PR rebasing/squashing should happen,[ci skip]
715,Add link to debug module for examples on setting env vars,[ci skip]
716,Merge pull request #457 from floriangosse/master,Make file trees more readable
717,Make file trees more readable,
718,7.6.0,
719,Enforce minimum Node version in CLI (#454),
720,Merge pull request #452 from electron-userland/handle-errors-setting-up-fixtures,Handle errors setting up tests
721,Add protocol/protocol-name docs and test (#450),Fixes #121.
722,Add --no-bin-links argument to npm install,
723,Merge pull request #451 from electron-userland/remove-test-logging,Remove log statement at start of test infer electron test
724,Handle errors and  during test setup,
725,Remove log statement at start of test,
726,Remove tap-spec,It's hindering the resolution of #441.
727,Merge pull request #448 from MarshallOfSound/feature/after-copy-hook,Add a hook for afterCopy
728,CI: Don't build non-master branches,Fixes #436.
729,Merge pull request #445 from electron-userland/fix-version-inference-regression,fix version inference regression
730,Add a hook for afterCopy, Hook runs once your app dir has been copied to a temp dir No hook has no effect (install async callback) Generalized the afterExtract test to easily add an afterCopy test
731,fix version inference regression,
732,Add debug statement for copying mac icon,
733,CLI: ensure --out has either a string or null value (#442),
734,Consistent verb tense usage in pull request template,[ci skip]
735,Fix formatting,[ci skip]
736,Add pull request template,[ci skip] Fixes #267.
737,Tests: refactor 'npm install' for fixtures,
738,Tests: pre-download Electron 1.3.1,
739,7.5.1,
740,Fix dir of getNameAndVersion for require package.json (#440),Fixes #439.
741,Add error guard in infer Electron test,Addresses #441.
742,Linkify the 7.5.0 version in NEWS,
743,support the new electron package name,
744,Merge pull request #435 from electron-userland/support-renamed-prebuilt,Add support for the new module package name
745,support the new electron package name,
746,Define the behavior when both --asar and its sub-properties are specified,
747,Linkify the 7.4.0 version in NEWS,
748,Add ffmpeg plugin to related links,Addresses #270.
749,7.4.0,
750,"Add regression test for apps named ""Electron""",Addresses #415.
751,Add util.fixtureSubdir() + fixture creation docs,Addresses comments in #415.
752,Update dependencies,
753,Remove unnecessary calls to path.join,
754,Merge pull request #433 from malept/add-debug-module,Add basic debug support via the 'debug' module
755,Add basic debug support via the 'debug' module,
756,Fix typo,
757,Clarify infer name/version error message/docs & add tests,
758,Use rename in more places,
759,Make a note about how 'npm run' doesn't print stderr,
760,More consts,
761,Alphabetize args,
762,7.3.0,
763,Move/reword comment block,
764,Split up the basic test file,
765,Remove unnecessary unit test,Don't need to test that minimist does typing correctly when there's only one type.
766,Merge pull request #422 from malept/refactor-mac-app,Refactor building the Mac app bundle
767,Refactor building the Mac app bundle,
768,Add electron-osx-sign to the list of known modules with DEBUG support,
769,Recommend removing node_modules with prune instead of ignore,
770,Merge pull request #417 from electron-userland/unify-asar-options,Unify asar options Closes #353.
771,Add a link to the API docs next to the usage link,[ci skip]
772,Fix ignore URL,[ci skip]
773,Clarify that ignore uses absolute paths,"Also, make explicit the default ignored paths and add references to module. [ci skip]"
774,Merge asar-options into asar,
775,Move separate asar options to asar-options,
776,Use fs.rename instead of fs.move when renaming Mac app (#416),
777,Clarify what Electron Packager is about,[ci skip]
778,7.2.0,
779,Note the minimum version of Wine required,
780,Travis: use Wine 1.6,
781,Pin rcedit dependency to 0.5.0,
782,Travis (OSX): don't install wine or run wine-related tests,
783,Use a better error message when wine is not found,Addresses #357.
784,Add option for dereferencing symlinks (#410),
785,Travis (OSX): gmp is already installed,
786,"Travis: OSX caching works now, in theory",
787,Travis: Use the XCode 8 (beta) image,
788,7.1.0,
789,Prepare NEWS for 7.1.0,
790,Merge pull request #403 from electron-userland/after-extract-hook,Add afterExtract hook Closes #354.
791,Update docs for icons on Linux,Update the link to Electron's module and clarify that it needs to be set to a PNG.
792,Use strict standard in test/hooks.js,
793,Implemented an 'afterExtract' function hook  RE: #270,
794,7.0.4,
795,Prepare NEWS for 7.0.4,
796,Inferred name/version error message should be more specific,Fixes #390.
797,Travis CI: libpng is already installed on osx,
798,Update ignore parameter docs, Mention that you can pass an module of modules (thanks @davej) Explicitly mention that glob patterns don't work  Closes #395.
799,7.0.3,
800,Prepare NEWS for 7.0.3,
801,Merge pull request #381 from juliangruber/fix/node-6-stderr,temporary fix for node 6 stdio issue
802,temporary fix for node 6 stdio issue,
803,'use strict' in all of the files (#351),Fixes #342.
804,"Travis (OSX): don't install libtiff, it's already installed",
805,7.0.2,
806,Clean up CLI usage docs,
807,Prepare NEWS for 7.0.2,
808,asar-unpack: mention multiple directory support in documentation (#347),
809,Only warn on strict-ssl if it's explicitly set to false,Need to remove the minimist alias because it was conflicting with detecting the deprecated parameter. Fixes #349.
810,Tweak wording,
811,Add note about OSX problems with the CFBundleExecutable change,
812,Docs: clarify that ignore=Function does not use default ignores,
813,Test with Node 6,
814,Add NEWS entry for #344,
815,Adjust Electron version used by framework symlink test,
816,Fix variable name style,
817,Add testcase for Electron framework symlinks,
818,Use template string,
819,Add eslintrc,
820,Merge pull request #344 from electron-userland/fix-dot-notation,"Escape dot in "".git"" correctly"
821,"Escape dot in "".git"" correctly","Previously, folders name “agit” or “bgit"" would get ignored."
822,Merge pull request #340 from develar/fs-extra-28,update fs-extra to 0.28
823,update fs-extra to 0.28,
824,7.0.1,
825,Adjust release date,
826,Merge pull request #335 from malept/cli-args-refactor,CLI argument parsing code refactor
827,Use an alias for the deprecated --strict-ssl flag,This should remove the consistent deprecation message.
828,Move CLI code to the common module,This allows the CLI argument parsing code to be unit tested. Add unit tests for most of the argument corner cases.
829,Merge pull request #326 from electron-userland/appveyor-ci,Appveyor CI support
830,Tests: determine how many targets 'all' generates when running on win32 host,
831,Ensure created ignored file is closed,
832,Add Appveyor config,
833,Tests: increase codesign exec timeout,
834,Update api.md,
835,7.0.0,
836,Prep NEWS for 7.0.0,
837,Merge pull request #332 from electron-userland/travis-osx,Add support for OSX on Travis CI
838,Longer test timeout on Mac for win32 tests,
839,Travis: revert back to using a container for Linux builds,
840,Travis: add support for testing on OS X,
841,Tests: actually use the version param of downloadAll,
842,Merge pull request #327 from malept/remove-deprecated-version-string-params,Remove deprecated version-string subproperties
843,Remove deprecated version-string subproperties,
844,Merge pull request #328 from malept/less-test-redundancy,Don't need to test every single platform/arch combo for basic tests
845,Don't need to test every single platform/arch combo for basic tests,
846,Merge pull request #320 from malept/consolidate-download-options,Consolidate electron-download options Closes #316.
847,Travis: cache the npm cache directory,
848,Set CLI defaults for strictSSL,
849,Add download parameter; deprecate cache & strict-ssl parameters,
850,Merge pull request #319 from electron-userland/drop-node-lt-4-support,Drop Node < 4 support
851,Use template strings,
852,Drop support for Node < 4,
853,use fs-extra copy instead of ncp (#318),"Use fs-extra copy instead of ncp Fixes #213, #150."
854,Forgot to var,
855,Add tests for invalid arch/platform/version,
856,Ignore test work directory,
857,Remove unnecessary calls in mac tests,
858,Remove duplicate isPlatformMac function,
859,More links for the API docs,
860,Use buffer-equal instead of reinventing the wheel,
861,Reorganize require calls,
862,Replace mv as a direct dependency with fs-extra,"fs-extra should have the same functionality as mv, as they both work across devices."
863,Replace rimraf as a module dependency with fs-extra,
864,Replace mkdirp as a direct dependency with fs-extra,
865,Update nyc/standard dependencies,
866,Clarify asar options code,
867,Don't reimplement the basename folder function,
868,Refactor renaming the Contents/MacOS/Electron binary,
869,Fix typo,
870,Attempt to fix intermittent test error,
871,Forgot the version link in NEWS again,
872,6.0.2,
873,Update docs/tests due to rcedit upgrade,
874,Merge pull request #315 from develar/patch-2,Update rcedit to 0.5
875,Update rcedit to 0.5,fix https://github.com/atom/rcedit/pull/11
876,"CONTRIBUTING: be more explicit about the ""help wanted"" label",Also add module to the list of documentation files.
877,Add note to NEWS about rcedit upgrade,
878,6.0.1,
879,Merge pull request #312 from develar/patch-1,update asar to avoid graceful-fs warnings
880,Linkify version,
881,Update news for 6.0.1,
882,update asar to fix https://github.com/electron/asar/pull/61,
883,Merge pull request #311 from electron-userland/delete-default-app-asar,Delete default_app.asar in Electron >= 0.37.4 Closes #298.
884,Add Electron 0.37.4-specific test for default_app.asar,
885,Delete default_app.asar,
886,Add note about winetricks,
887,Example: make it obvious that using a productName with spaces is OK,
888,Merge pull request #296 from electron-userland/separate-api-docs,Move API docs to its own file Fixes #275.
889,Travis: use trusty env & install dlls for rcedit,"Running node-rcedit 0.4.0 requires msvcp120.dll, which is installed via winetricks. The script for before_install lives in test/ci, which is where future scripts for CI should go."
890,Update rcedit dependency,
891,A bunch of Electron repos moved into their own GitHub org,
892,Fix callback function docs,
893,Move API docs to its own file,Fixes #275.
894,Merge pull request #301 from erkyrath/issue-300-iconname,Fixes #300.
895,Fix for issue 300: --icon option does not work under Electron 0.37.4,Add a separate fixture for electron 0.37.4. Drop in the el-0374 test. Add pre-test setup for 0.37.4 tests.
896,Better location for the release notes link,
897,Add release notes link to readme,
898,Fix CONTRIBUTING link in readme,Fixes #295.
899,Release 6.0.0,Fixes #266.
900,Replace copyObject with object-assign,
901,Merge pull request #286 from electron-userland/osx-sign-single-param,Consolidate OSX signing params
902,Add Object.assign polyfill for Node 0.12,
903,Move OSX sign logic to its own function and add tests,
904,Documentation cleanup,
905,ES6 template strings cannot be used,
906,Implement osx-sign options hash,"This replaces the ""sign"" option, to accomodate other platform signing mechanisms. Add warning for binaries sub-option. Add warning if building for the mas target without signing."
907,Reorganize OSX signing params in the docs,
908,Add NEWS check to version release checklist,
909,Travis: be less strict about node versions to test,
910,Add #293 to NEWS,
911,Sync package description with GitHub repo description,
912,Upgrade asar to 0.10,
913,Merge pull request #293 from dmurtari/master,Fix OSX Binary Names Fixes #195. Closes #244.
914,Fix coding style and added unit test for Binary naming in Mac OS,
915,Rename Binary in OSX (CFBundleExecutable) #195,Tackles the issue #195 by renaming the binary to opts.name
916,readme clarifications, Simplify CLI usage Make ignore examples not real-life obsolete examples and obviously dummy Base a simplified CLI example off of electron-quick-start  Closes #289.
917,Simplify usage example; document sourcedir/appname,
918,Merge pull request #290 from quicksnap/patch-2,Bump electron-download to v2
