Index,Message,Description
87,docs(readme): update grammar (#1227),
88,feat: add bundled app validation to ensure that package.json and main entry point exist (#1257),
89,chore: bump sinon from 10.0.1 to 11.0.0 (#1243),Bumps link from 10.0.1 to 11.0.0. - link - link - link Signed-off-by: dependabot[bot] link Co-authored-by: dependabot[bot] link
90,build(deps-dev): bump sinon from 10.0.1 to 11.0.0 (#1243),Bumps link from 10.0.1 to 11.0.0. - link - link - link Signed-off-by: dependabot[bot] link Co-authored-by: dependabot[bot] link
91,chore: upgrade to GitHub-native Dependabot (#1238),Co-authored-by: dependabot-preview[bot] link
92,chore(deps-dev): bump eslint-plugin-ava from 11.0.0 to 12.0.0 (#1231),Bumps link from 11.0.0 to 12.0.0. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
93,Merge pull request #1235 from electron/dependabot/npm_and_yarn/eslint-plugin-promise-5.1.0,chore(deps-dev): bump eslint-plugin-promise from 4.3.1 to 5.1.0
94,chore(deps-dev): bump eslint-plugin-promise from 4.3.1 to 5.1.0,Bumps link from 4.3.1 to 5.1.0. - link - link - link Signed-off-by: dependabot-preview[bot] link
95,Merge pull request #1234 from electron/dependabot/npm_and_yarn/sinon-10.0.1,chore(deps-dev): bump sinon from 9.2.4 to 10.0.1
96,chore(deps-dev): bump sinon from 9.2.4 to 10.0.1,Bumps link from 9.2.4 to 10.0.1. - link - link - link Signed-off-by: dependabot-preview[bot] link
97,docs: link to process.resourcesPath with extraResource (#1224),
98,"revert: ""chore(deps-dev): bump typedoc from 0.19.2 to 0.20.20"" (#1218)",
99,Merge pull request #1216 from electron/dependabot/npm_and_yarn/typedoc-0.20.20,chore(deps-dev): bump typedoc from 0.19.2 to 0.20.20
100,chore(deps-dev): bump typedoc from 0.19.2 to 0.20.20,Bumps link from 0.19.2 to 0.20.20. - link - link Signed-off-by: dependabot-preview[bot] link
101,15.2.0,
102,chore(deps-dev): bump tsd from 0.13.1 to 0.14.0 (#1193),Bumps link from 0.13.1 to 0.14.0. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
103,chore(deps-dev): remove unused eslint-plugin-standard (#1192),Co-authored-by: dependabot-preview[bot] link Co-authored-by: Mark Lee link
104,fix(targets): allow checking official builds against prerelease versions (#1191),
105,chore(deps): bump electron-osx-sign from 0.4.17 to 0.5.0 (#1189),Bumps link from 0.4.17 to 0.5.0. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
106,docs: add link to plugins from HookFunction,
107,chore(deps-dev): bump eslint-config-standard from 15.0.1 to 16.0.0 (#1188), chore(deps-dev): bump eslint-config-standard from 15.0.1 to 16.0.0  Bumps link from 15.0.1 to 16.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link  refactor: suppress lint warnings  Co-authored-by: dependabot-preview[bot] link Co-authored-by: Mark Lee link
108,chore(deps-dev): bump eslint-config-standard from 14.1.1 to 15.0.0 (#1186),Bumps link from 14.1.1 to 15.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
109,ci: skip CircleCI for automatic commits to gh-pages (#1187),
110,fix(copy-filter): add package manager lockfiles to default ignore (#1182),Co-authored-by: Eddy Brown link Co-authored-by: Mark Lee link
111,chore(deps): bump yargs-parser from 19.0.4 to 20.0.0 (#1178),Bumps link from 19.0.4 to 20.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
112,"build(deps-dev): upgrade @typescript-eslint/{eslint-plugin,parser} to ^4.0.1",
113,chore(deps-dev): bump typedoc from 0.18.0 to 0.19.0 (#1175),Bumps link from 0.18.0 to 0.19.0. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
114,chore(deps-dev): bump eslint-plugin-ava from 10.5.0 to 11.0.0 (#1172), chore(deps-dev): bump eslint-plugin-ava from 10.5.0 to 11.0.0  Bumps link from 10.5.0 to 11.0.0. - link - link Signed-off-by: dependabot-preview[bot] link  test: fix lint warnings  Co-authored-by: dependabot-preview[bot] link Co-authored-by: Mark Lee link
115,chore(deps-dev): bump typescript from 3.9.7 to 4.0.2 (#1173),Bumps link from 3.9.7 to 4.0.2. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
116,15.1.0,
117,chore(deps-dev): bump typedoc from 0.17.8 to 0.18.0 (#1169),Bumps link from 0.17.8 to 0.18.0. - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
118,chore(deps): bump yargs-parser from 18.1.3 to 19.0.1 (#1170),Bumps link from 18.1.3 to 19.0.1. - link - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
119,test: fix allPlatformArchCombosCount given new win32/arm64 combo (#1171),
120,feat: add darwin/arm64 and mas/arm64 as official platform/arch combinations (#1168),
121,fix(typescript): ensure OsxNotarizeOptions definition contains credentials (#1167),
122,build(deps-dev): upgrade ava to ^3.10.1,"3.10.0 contained a regression, see https://github.com/avajs/ava/issues/2535"
123,Merge pull request #1166 from electron/dependabot/npm_and_yarn/tsd-0.13.1,chore(deps-dev): bump tsd from 0.12.1 to 0.13.1
124,build: try downgrading ava,
125,build: remove a layer of indirection from the coverage script,
126,build(circleci): try a newer Node version on macOS,
127,chore(deps-dev): bump tsd from 0.12.1 to 0.13.1,Bumps link from 0.12.1 to 0.13.1. - link - link Signed-off-by: dependabot-preview[bot] link
128,chore(deps-dev): bump tsd from 0.11.0 to 0.12.1 (#1164), chore(deps-dev): bump tsd from 0.11.0 to 0.12.1  Bumps link from 0.11.0 to 0.12.1. - link - link Signed-off-by: dependabot-preview[bot] link  build: remove redundant files entry for TypeScript definition  Co-authored-by: dependabot-preview[bot] link Co-authored-by: Mark Lee link
129,build(ci): Use a newer macOS image for a newer Node,
130,docs(news): fix 15.0.0 link,
131,15.0.0,
132,chore(deps): bump electron-notarize from 0.3.0 to 1.0.0 (#1157),Bumps link from 0.3.0 to 1.0.0. - link - link - link Signed-off-by: dependabot-preview[bot] link Co-authored-by: dependabot-preview[bot] link
133,refactor: replace sanitize-filename with filenamify (#1156),
134,build: test Node 14 in CI (#1155),
135,fix(infer): add missing fields to the infer error message (#1153),Fixes #1144.
136,build(deps-dev): upgrade eslint to ^7.1.0 & @typescript-eslint/* to ^3.0.0 (#1152),
137,build: merge ESLint config files into package.json when possible,
138,docs: clarify disabling pruning via the API in the README,
139,refactor: rename ignore source files/functions to copy-filter (#1151),
