Index,Message,Description,Message Abstract,Description Abstract
7834,"If the input is a string but Time.parse can't parse it, maybe it's a UNIX timestamp.",Fixes #2339,"If the input is a string but Time.parse can't parse it, maybe it's a UNIX timestamp.",Fixes #2339
7835,Require mercenary v0.3.3 or greater (below v0.4.0),,Require mercenary v0.3.3 or greater (below v0.4.0),
7836,Update history to reflect the closing of #2324.,,Update history to reflect the closing of #2324.,
7837,Use site.title instead of site.name in site template,Fixes #2324.,Use site.title instead of site.name in site template,Fixes #2324.
7838,Update site history.,,Update site history.,
7839,Update history to reflect merge of #2337 [ci skip],,Update history to reflect merge of #2337 [ci skip],
7840,Merge pull request #2337 from sankage/grammar-slam,,Merge pull request #2337 from sankage/grammar-slam,
7841,Update history to reflect fixing of #2334.,,Update history to reflect fixing of #2334.,
7842,Register subclasses of subclasses of Jekyll::Plugin,"The Sass and SCSS converters are practically the same – only different in the input syntax and file extension. As such, we've created Jekyll::Converters::Scss which is a subclass of Jekyll::Converter, and Jekyll::Converters::Sass which is a subclass of Jekyll::Converters::Scss. When Site#instantiate_classes is called on Jekyll::Converter, it only instantiates the Scss converter, not the Sass converter. This change fixes that. Fixes #2334.",Register subclasses of subclasses of Jekyll::Plugin,"The Sass and SCSS converters are practically the same – only different in the input syntax and file extension. As such, we've created Jekyll::Converters::Scss which is a subclass of Jekyll::Converter, and Jekyll::Converters::Sass which is a subclass of Jekyll::Converters::Scss. When Site#instantiate_classes is called on Jekyll::Converter, it only instantiates the Scss converter, not the Sass converter. This change fixes that. Fixes #2334."
7843,add missing 'as',,add missing 'as',
7844,Update history to reflect the closing of #2325.,,Update history to reflect the closing of #2325.,
7845,Don't fail if any of the path objects are nil.,Fixes #2325,Don't fail if any of the path objects are nil.,Fixes #2325
7846,Update history to reflect merge of #2331 [ci skip],,Update history to reflect merge of #2331 [ci skip],
7847,Merge pull request #2331 from albertogg/fix-site-template-permalink,,Merge pull request #2331 from albertogg/fix-site-template-permalink,
7848,Fix site template permalink typo,,Fix site template permalink typo,
7849,Update history to reflect merge of #2326 [ci skip],,Update history to reflect merge of #2326 [ci skip],
7850,Merge pull request #2326 from iamgabeortiz/master,,Merge pull request #2326 from iamgabeortiz/master,
7851,Merge pull request #1 from iamgabeortiz/gist.rb-doc-update,Update gist.rb comments only,Merge pull request #1 from iamgabeortiz/gist.rb-doc-update,Update gist.rb comments only
7852,Update gist.rb comments only,Strictly updated the reference to Examples and Valid Syntax to be inline with jekyll/jekyll-help#32,Update gist.rb comments only,Strictly updated the reference to Examples and Valid Syntax to be inline with jekyll/jekyll-help#32
7853,Update history conversion so it works from MD ~> Website,,Update history conversion so it works from MD ~> Website,
7854,Remove unneeded method from Rakefile.,,Remove unneeded method from Rakefile.,
7855,Fix header for 2.0.2 so it's written to the website.,,Fix header for 2.0.2 so it's written to the website.,
7856,Update history to reflect merge of #2319 [ci skip],,Update history to reflect merge of #2319 [ci skip],
7857,Merge pull request #2319 from jekyll/use-urls,,Merge pull request #2319 from jekyll/use-urls,
7858,The last of the site template prepending.,,The last of the site template prepending.,
7859,"Prepend url, too, in feed.xml.",,"Prepend url, too, in feed.xml.",
7860,Release 2.0.2,,Release 2.0.2,
7861,Update history to reflect merge of #2316 [ci skip],,Update history to reflect merge of #2316 [ci skip],
7862,Merge pull request #2316 from holic/master,,Merge pull request #2316 from holic/master,
7863,"Default baseurl to """" rather than to ""/""",Also a fix for #2317,"Default baseurl to """" rather than to ""/""",Also a fix for #2317
7864,Update history to reflect the fixing of #2317,,Update history to reflect the fixing of #2317,
7865,Set baseurl to nothing in new template site.,"Previously, it caused all sorts of errors. Fixes #2317.",Set baseurl to nothing in new template site.,"Previously, it caused all sorts of errors. Fixes #2317."
7866,Add a little clarity to docs,,Add a little clarity to docs,
7867,Update history to reflect merge of #2314 [ci skip],,Update history to reflect merge of #2314 [ci skip],
7868,Merge pull request #2314 from troyswanson/gist-docs,,Merge pull request #2314 from troyswanson/gist-docs,
7869,Update docs for different gist behavior,,Update docs for different gist behavior,
7870,Release 2.0.1,,Release 2.0.1,
7871,Require kramdown instead of maruku.,CRAP CRAP CRAP whoops.,Require kramdown instead of maruku.,CRAP CRAP CRAP whoops.
7872,Add some Google Analytics magic.,,Add some Google Analytics magic.,
7873,Release 2.0.0,,Release 2.0.0,
7874,Merge pull request #2312 from jekyll/release-2.0.0,,Merge pull request #2312 from jekyll/release-2.0.0,
7875,Rename 2.0.0 release post to match title. [ci skip],,Rename 2.0.0 release post to match title. [ci skip],
7876,A year ago to the day. [ci skip],,A year ago to the day. [ci skip],
7877,Remove unneeded tests for the sass converter plugin.,,Remove unneeded tests for the sass converter plugin.,
7878,Update histories to reflect 2.0.0 release.,,Update histories to reflect 2.0.0 release.,
7879,Release 2.0.0.,,Release 2.0.0.,
7880,Update history to reflect merge of #2299 [ci skip],,Update history to reflect merge of #2299 [ci skip],
7881,Merge pull request #2299 from penibelst/sort-nils,,Merge pull request #2299 from penibelst/sort-nils,
7882,Follow Ruby Styleguide,,Follow Ruby Styleguide,
7883,Update history to reflect merge of #2309 [ci skip],,Update history to reflect merge of #2309 [ci skip],
7884,Merge pull request #2309 from jekyll/remove-unreleased-notes,,Merge pull request #2309 from jekyll/remove-unreleased-notes,
7885,Update history to reflect merge of #2310 [ci skip],,Update history to reflect merge of #2310 [ci skip],
7886,Merge pull request #2310 from jekyll/fix-get-cwd-error,,Merge pull request #2310 from jekyll/fix-get-cwd-error,
7887,Separate example codes [ci skip],,Separate example codes [ci skip],
7888,Close the file descriptor in has_yaml_header?,Previous method caused a problem where the calling Dir.chdir to get the next directory's entries would cause the infamous 'Too many open files - getcwd' error. Fixes #2279.,Close the file descriptor in has_yaml_header?,Previous method caused a problem where the calling Dir.chdir to get the next directory's entries would cause the infamous 'Too many open files - getcwd' error. Fixes #2279.
7889,Remove the hint aout type,,Remove the hint aout type,
7890,Improve the description,,Improve the description,
7891,Fix markup,,Fix markup,
7892,Change nils argument to string,,Change nils argument to string,
7893,Add test for document.output.,Test for ref: 00f21ee93ca28913ef027caef893488d2f93ff75 Closes #2232.,Add test for document.output.,Test for ref: 00f21ee93ca28913ef027caef893488d2f93ff75 Closes #2232.
7894,Add documentation,,Add documentation,
7895,Add more strings tests,,Add more strings tests,
7896,Fix link to variables docs page,,Fix link to variables docs page,
7897,Add output to Document#to_liquid,,Add output to Document#to_liquid,
7898,Remove notes in docs for unreleased features.,,Remove notes in docs for unreleased features.,
7899,Update history to reflect merge of #2303 [ci skip],,Update history to reflect merge of #2303 [ci skip],
7900,Merge pull request #2303 from jekyll/jbranchaud-adding_exclude_tests,,Merge pull request #2303 from jekyll/jbranchaud-adding_exclude_tests,
7901,Update history to reflect merge of #2298 [ci skip],,Update history to reflect merge of #2298 [ci skip],
7902,Merge pull request #2298 from jekyll/release-post,,Merge pull request #2298 from jekyll/release-post,
7903,Update history to reflect merge of #2307 [ci skip],,Update history to reflect merge of #2307 [ci skip],
7904,Merge pull request #2307 from jekyll/obey-stevenson,,Merge pull request #2307 from jekyll/obey-stevenson,
7905,Update history to reflect merge of #2304 [ci skip],,Update history to reflect merge of #2304 [ci skip],
7906,Merge pull request #2304 from XhmikosR/html5shiv,,Merge pull request #2304 from XhmikosR/html5shiv,
7907,Update history to reflect merge of #2305 [ci skip],,Update history to reflect merge of #2305 [ci skip],
7908,Merge pull request #2305 from XhmikosR/master,,Merge pull request #2305 from XhmikosR/master,
