,Time
635,608877
636,2416
637,943814
638,445264
639,1044711
640,353605
641,77320
642,7617831
643,2024547
644,28154
645,1194812
646,278474
647,700041
648,76679
649,1485175
650,68520
651,1879418
652,544480
653,685130
654,55140
655,464008
656,10356
657,265058
658,55743
659,106819
660,152473
661,85432
662,5050
663,29666
664,163869
665,147505
666,201187
667,57660
668,176120
669,283265
670,173545
671,52595
672,10201
673,431208
674,12651
675,7005
676,744671
677,9858
678,697727
679,185946
680,448273
681,399416
682,1291021
683,435573
684,688128
685,14864750
686,3872458
687,13132
688,1575103
689,2223137
690,1043328
691,432060
692,1977212
693,1982224
694,204634
695,62090
696,2433784
697,156345
698,609302
699,163939
700,1327753
701,513863
702,158729
703,250246
704,369005
705,62258
706,74859
707,112856
708,677514
709,632860
710,1964304
711,624133
712,848391
713,976956
714,66884
715,26157
716,2839099
717,49584
718,129972
719,249436
720,2132487
721,81781
722,8937
723,335344
724,276314
725,445982
726,181605
727,39780
728,1321882
729,8291377
730,83759
731,337072
732,449762
733,945442
734,1796265
735,189987
736,3699238
737,17714
738,99829
739,6416
740,1377834
741,149080
742,3412
743,595824
744,91492
745,2260920
746,600876
747,2897
748,99003
749,59238
750,31318
751,1253506
752,2353153
753,1480653
754,1195487
755,1654120
756,95544
757,683031
758,952962
759,396275
760,2687987
761,7949953
762,2882878
763,5054319
764,64984
765,7548502
766,2422500
767,5795350
768,3528079
769,232718
770,7954162
771,6582842
772,3193279
773,1792758
774,3015869
775,1751738
776,2499157
777,6151621
778,1512746
779,4492621
780,6659408
781,2376203
782,2049902
783,3470382
784,4070960
785,5832687
786,3436529
787,125148
788,1279602
789,167965
790,1492323
791,1113447
792,682646
793,2972534
794,5421071
795,1078311
796,1252953
797,899335
798,13869793
799,444096
800,914264
801,3024756
802,9622750
803,1322261
804,40022
805,11618879
806,8906248
807,1222069
808,6776403
809,1113149
810,1567425
811,8115758
812,3797659
813,2598893
814,4417370
815,12619849
816,3198004
817,4977772
818,8225339
819,6193870
820,14631646
821,2279380
822,1101387
823,336001
824,525231
825,1321900
826,1959003
827,2962230
828,22736422
829,3489235
830,14892886
831,511193
832,732124
833,1038718
834,608198
835,501191
836,513337
837,840849
838,42756
839,422968
840,319165
841,546302
842,6139
843,4881683
844,10465271
845,7103505
846,60880996
847,91271416
848,6214764
849,44674170
850,22218902
851,35636436
852,21650056
853,517137
854,15148995
855,10152066
856,406670
857,794666
858,303706
859,642334
860,421888
861,2580235
862,1765387
863,2318358
864,2071015
865,21013518
866,13932690
867,42662250
868,5398656
869,831786
870,2559333
871,433152
872,2927784
873,7168308
874,5173150
875,3845438
876,3917557
877,474112
878,19519526
879,595
880,8046234
881,3339905
882,2267651
883,1604245
884,7132400
885,4067478
886,5074147
887,2389110
888,3407454
889,5797801
890,6956891
891,639613
892,134336
893,7816638
894,3516776
895,264157
896,2313459
897,354296
898,3123788
899,2956521
900,733751
901,1230203
902,768383
903,779775
904,777983
905,78620
906,428572
907,21844
908,1191661
909,1463803
910,504016
911,356946
912,880652
913,94878
914,3203
915,589623
916,73986
917,978242
918,41923
919,2003930
920,966972
921,527973
922,310091
923,97760
924,1221751
925,253358
926,266625
927,3017233
928,958916
929,470415
930,1254213
931,2695238
932,1180706
933,777807
934,5702656
935,19510
936,492979
937,2792994
938,4737850
939,963210
940,326129
941,441757
942,674325
943,460851
944,2824509
945,1143329
946,243648
947,867740
948,178898
949,90330
950,1995366
951,78748
952,67726
953,2525119
954,172003
955,92230
956,254521
957,4707
958,310564
959,1898967
960,812322
961,613712
962,77763
963,168783
964,49483
965,963312
966,349772
967,1029940
968,173339
969,611907
970,275098
971,841145
972,262217
973,620320
974,167088
975,81064
976,541954
977,358412
978,388022
979,115314
980,145196
981,288057
982,68428
983,1487952
984,318
985,837033
986,604322
987,547035
988,245947
989,336876
990,252220
991,77181
992,302171
993,145017
994,719185
995,1008712
996,606453
997,362662
998,61312
999,462301
1000,777966
1001,2331255
1002,4656410
1003,344326
1004,223638
1005,80169
1006,89296
1007,303143
1008,155203
1009,60273
1010,694002
1011,205261
1012,53679
1013,105433
1014,249990
1015,501615
1016,20888
1017,8171
1018,92690
1019,69024
1020,154918
1021,197430
1022,293264
1023,856281
1024,428446
1025,348729
1026,252676
1027,63838
1028,20287
1029,330206
1030,330955
1031,504945
1032,215621
1033,331011
1034,104606
1035,3614
1036,49563
1037,120090
1038,340939
1039,178889
1040,505396
1041,164276
1042,109101
1043,251759
1044,8856
1045,489580
1046,14089
1047,185114
1048,792068
1049,71062
1050,589986
1051,104212
1052,350581
1053,166029
1054,302717
1055,214073
1056,395560
1057,15682
1058,244692
1059,298720
1060,92304
1061,820378
1062,87130
1063,1405030
1064,332176
1065,1813991
1066,289859
1067,1164898
1068,38237
1069,36217
1070,550085
1071,542453
1072,68351
1073,1126575
1074,251651
1075,60717
1076,52933
1077,228633
1078,607878
1079,2158702
1080,276229
1081,149857
1082,954792
1083,681624
1084,764296
1085,487020
1086,120849
1087,77918
1088,115272
1089,277774
1090,3158106
1091,359094
1092,1830769
1093,1428164
1094,487455
1095,2218056
1096,120851
1097,2459369
1098,1393870
1099,173239
1100,1330104
1101,54224
1102,2232317
1103,2775531
1104,2485258
1105,605427
1106,967985
1107,267491
1108,846726
1109,131563
1110,64023
1111,15746
1112,359355
1113,459139
1114,984228
1115,1632501
1116,1972509
1117,183152
1118,433543
1119,58524
1120,266816
1121,46141
1122,209810
1123,868618
1124,442635
1125,1301301
1126,1292348
1127,2165338
1128,167885
1129,1753974
1130,385213
1131,523577
1132,1743961
1133,2070424
1134,113235
1135,152830
1136,520204
1137,425487
1138,706912
1139,272119
1140,6012678
1141,528448
1142,345642
1143,262360
1144,360991
1145,64877
1146,1219005
1147,100413
1148,321269
1149,633513
1150,334434
1151,94058
1152,662444
1153,2335839
1154,349359
1155,332381
1156,361981
1157,526644
1158,88730
1159,414003
1160,952617
1161,769887
1162,79726
1163,98851
1164,158859
1165,101603
1166,177102
1167,344453
1168,191889
1169,52699
1170,17241
1171,424280
1172,6442
1173,116
1174,258254
1175,1274
1176,513325
1177,333324
1178,18308
1179,254918
1180,636223
1181,223514
1182,257006
1183,1901958
1184,333872
1185,19478
1186,237778
1187,203947
1188,3088
1189,5763
1190,132619
1191,18418
1192,66456
1193,31998
1194,505624
1195,175160
1196,84424
1197,242188
1198,90528
1199,10905
1200,2418789
1201,2502102
1202,5051029
1203,190196
1204,30739
1205,4314408
1206,682763
1207,606459
1208,355376
1209,1887866
1210,334005
1211,4343611
1212,772577
1213,157388
1214,1654960
1215,2071085
1216,323
1217,2837297
1218,2598
1219,280681
1220,858555
1221,56021
1222,201050
1223,88160
1224,685427
1225,167698
1226,327419
1227,82974
1228,444154
1229,99041
1230,1194796
1231,3822926
1232,65515
1233,82560
1234,88642
1235,88191
1236,957523
1237,72896
1238,1487183
1239,1103136
1240,1549535
1241,80996
1242,719396
1243,501501
1244,360068
1245,80701
1246,3539550
1247,1713500
1248,524071
1249,99815
1250,3190870
1251,2168294
1252,106702
1253,952991
1254,2034051
1255,171063
1256,13934
1257,166573
1258,884967
1259,2314777
1260,1400896
1261,155167
1262,774633
1263,3211387
1264,249332
1265,1297272
1266,768038
1267,259797
1268,94060
1269,69680
1270,865946
1271,698038
1272,5390
1273,257954
1274,164661
1275,92207
1276,261950
1277,80924
1278,266069
1279,71765
1280,383784
1281,141414
1282,101391
1283,327793
1284,257955
1285,33772
1286,146536
1287,3850
1288,21995
1289,50949
1290,22788
1291,21595608
1292,1105369
1293,288442
1294,19059
1295,1625583
1296,2051843
1297,7724775
1298,1804596
1299,1348998
1300,1080209
1301,2581583
1302,161938
1303,13205044
1304,33171
1305,47986
1306,5885112
1307,168951
1308,84293
1309,168555
1310,21455
1311,77913
1312,4042737
1313,2093851
1314,1036
1315,676530
1316,77513
1317,426393
1318,4687
1319,961809
1320,1912933
1321,958549
1322,179858
1323,44711
1324,4335396
1325,2677065
1326,2409695
1327,278209
1328,57744
1329,187033
1330,1038073
1331,237731
1332,1084609
1333,654240
1334,3486271
1335,4922024
1336,262724
1337,3789809
1338,2235345
1339,1025659
1340,4692730
1341,3078005
1342,1731002
1343,4466848
1344,4122748
1345,3275449
1346,94123
1347,93299
1348,2755784
1349,354517
1350,2254337
1351,166375
1352,2752708
1353,1321980
1354,1127664
1355,594902
1356,74986
1357,181029
1358,1113381
1359,1996356
1360,1847332
1361,255791
1362,567959
1363,7450706
1364,6697127
1365,1809520
1366,545756
1367,1605663
1368,951975
1369,91259
1370,663
1371,427301
1372,558392
1373,84778
1374,70358
1375,9241
1376,3780
1377,33570
1378,6606344
1379,6052
1380,4493413
1381,1860234
1382,17033796
1383,3306398
1384,5021958
1385,1617453
1386,3354464
1387,4325766
1388,5624590
1389,173033
1390,9367973
1391,925968
1392,345165
1393,715886
1394,248958
1395,74604
1396,58425
