Index,Release Note,Release Note Abstract
173,See the changelog and upgrade guide,See the changelog and upgrade guide
174,"Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See https://jenkins.io/changelog/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.

Add missing Turkish translations for home page (#5409) @mustafau
Add Turkish translations for new login form (#5387) @mustafau

🚀 New features and improvements

JENKINS-65308 - Improve performance of Jenkins#trimLabels() (#5402) @res0nance
Improve design of last-unstable SVG icon (#5392) @uhafner

🐛 Bug fixes

JENKINS-65336 - Fix load statistics graph type value (#5408) @MarkEWaite

👷 Changes for plugin developers

Update commons-beanutils to 1.9.4, adapt Stapler (#5324) @daniel-beck
Update handlebars minimum version (#5385) @alecharp
JENKINS-65288 - Bring back support for stapler.jelly.trace (#5391) @Wadeck

📦 Dependency updates

Bump actions/setup-java from v1 to v2 (#5394) @dependabot
Bump actions/upload-artifact from v2.2.2 to v2.2.3 (#5397) @dependabot
Update handlebars minimum version (#5385) @alecharp

👻 Maintenance

Update commons-beanutils to 1.9.4, adapt Stapler (#5324) @daniel-beck

All contributors: @MRamonLeon, @MarkEWaite, @StefanSpieker, @Wadeck, @alecharp, @basil, @daniel-beck, @dependabot, @dependabot[bot], @jenkins-release-bot, @jglick, @mcansozeri, @mustafau, @res0nance and @uhafner","Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See link/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
Add missing Turkish translations for home page (#5409) @mustafau
Add Turkish translations for new login form (#5387) @mustafau
🚀 New features and improvements
JENKINS-65308 - Improve performance of Jenkins#trimLabels() (#5402) @res0nance
Improve design of last-unstable SVG icon (#5392) @uhafner
🐛 Bug fixes
JENKINS-65336 - Fix load statistics graph type value (#5408) @MarkEWaite
👷 Changes for plugin developers
Update commons-beanutils to 1.9.4, adapt Stapler (#5324) @daniel-beck
Update handlebars minimum version (#5385) @alecharp
JENKINS-65288 - Bring back support for stapler.jelly.trace (#5391) @Wadeck
📦 Dependency updates
Bump actions/setup-java from v1 to v2 (#5394) @dependabot
Bump actions/upload-artifact from v2.2.2 to v2.2.3 (#5397) @dependabot
Update handlebars minimum version (#5385) @alecharp
👻 Maintenance
Update commons-beanutils to 1.9.4, adapt Stapler (#5324) @daniel-beck
All contributors: @MRamonLeon, @MarkEWaite, @StefanSpieker, @Wadeck, @alecharp, @basil, @daniel-beck, @dependabot, @dependabot[bot], @jenkins-release-bot, @jglick, @mcansozeri, @mustafau, @res0nance and @uhafner"
175,"Security release
See the changelog","Security release
See the changelog"
176,"Security release
See the changelog and upgrade guide","Security release
See the changelog and upgrade guide"
177,"Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See https://jenkins.io/changelog/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements

JENKINS-65172 - Better support for remote platform-plugins.json (#5365) @daniel-beck
JENKINS-36707 - Add CI environment variable (#5370) @usmonster
JENKINS-63855 - Support 'min' and 'max' values in the  tag (#5192) @benebsiny
Add a couple of admin monitors for executors on the controller (#5337) @jeffret-b
Add a Jenkins User-Agent header to outgoing HTTP requests (#5368) @daniel-beck

🐛 Bug fixes

JENKINS-65021 - Disabled dropdown items no longer look disabled (#5379) @benebsiny

👷 Changes for plugin developers

JENKINS-63855 - Support 'min' and 'max' values in the  tag (#5192) @benebsiny

📦 Dependency updates

Bump jna from 5.7.0 to 5.8.0 (#5381) @dependabot
Winstone 5.16 which includes Jetty 9.4.39.v20210325 (#5380) @olamy

All contributors: @MarkEWaite, @benebsiny, @daniel-beck, @dependabot, @dependabot[bot], @eas5, @jeffret-b, @jenkins-release-bot, @jtnord, @olamy, @oleg-nenashev, @res0nance and @usmonster","Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See link/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements
JENKINS-65172 - Better support for remote platform-plugins.json (#5365) @daniel-beck
JENKINS-36707 - Add CI environment variable (#5370) @usmonster
JENKINS-63855 - Support 'min' and 'max' values in the  tag (#5192) @benebsiny
Add a couple of admin monitors for executors on the controller (#5337) @jeffret-b
Add a Jenkins User-Agent header to outgoing HTTP requests (#5368) @daniel-beck
🐛 Bug fixes
JENKINS-65021 - Disabled dropdown items no longer look disabled (#5379) @benebsiny
👷 Changes for plugin developers
JENKINS-63855 - Support 'min' and 'max' values in the  tag (#5192) @benebsiny
📦 Dependency updates
Bump jna from 5.7.0 to 5.8.0 (#5381) @dependabot
Winstone 5.16 which includes Jetty 9.4.39.v20210325 (#5380) @olamy
All contributors: @MarkEWaite, @benebsiny, @daniel-beck, @dependabot, @dependabot[bot], @eas5, @jeffret-b, @jenkins-release-bot, @jtnord, @olamy, @oleg-nenashev, @res0nance and @usmonster"
178,"See the release candidate announcement and the changelog pull request.
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download.","See the release candidate announcement and the changelog pull request.
After final release, the official changelog and official upgrade guide will be available on www.jenkins.io/download."
179,"Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See https://jenkins.io/changelog/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements

Default to POST form validation (#4623) @daniel-beck
Bump matrix-auth from 2.6.5 to 2.6.6 (#5366) @MarkEWaite
Use xstream 1.4.16 (#5360) @MarkEWaite
Update bundled bouncycastle-api plugin to 2.20. (#5347) @jeffret-b

🐛 Bug fixes

JENKINS-62006 - Fix a classloading issue while executing ProcessTree.get() (#5367) @timja
Ensure that plugins are sorted by name (#5359) @res0nance

📦 Dependency updates

Use xstream 1.4.16 (#5360) @MarkEWaite
Bump release-drafter/release-drafter from v5.14.0 to v5.15.0 (#5363) @dependabot

All contributors: @MarkEWaite, @basil, @daniel-beck, @dependabot, @dependabot[bot], @jeffret-b, @jenkins-release-bot, @oleg-nenashev, @res0nance and @timja","Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See link/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements
Default to POST form validation (#4623) @daniel-beck
Bump matrix-auth from 2.6.5 to 2.6.6 (#5366) @MarkEWaite
Use xstream 1.4.16 (#5360) @MarkEWaite
Update bundled bouncycastle-api plugin to 2.20. (#5347) @jeffret-b
🐛 Bug fixes
JENKINS-62006 - Fix a classloading issue while executing ProcessTree.get() (#5367) @timja
Ensure that plugins are sorted by name (#5359) @res0nance
📦 Dependency updates
Use xstream 1.4.16 (#5360) @MarkEWaite
Bump release-drafter/release-drafter from v5.14.0 to v5.15.0 (#5363) @dependabot
All contributors: @MarkEWaite, @basil, @daniel-beck, @dependabot, @dependabot[bot], @jeffret-b, @jenkins-release-bot, @oleg-nenashev, @res0nance and @timja"
180,"Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See https://jenkins.io/changelog/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements

Remove bundled Ant and Javadoc plugins (#5338) @basil
Bump sshd-core to 2.6.0 and update tests (#5206) @res0nance
Add Japanese translations for Dashboard, Views, Rename (#5350) @takashiharano

🐛 Bug fixes

Icon typo fixes (used non transparent gif by accident) (#5354) @timja

📦 Dependency updates

Bump sshd-core to 2.6.0 and update tests (#5206) @res0nance

All contributors: @basil, @daniel-beck, @jenkins-release-bot, @oleg-nenashev, @res0nance, @takashiharano and @timja","Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See link/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🚀 New features and improvements
Remove bundled Ant and Javadoc plugins (#5338) @basil
Bump sshd-core to 2.6.0 and update tests (#5206) @res0nance
Add Japanese translations for Dashboard, Views, Rename (#5350) @takashiharano
🐛 Bug fixes
Icon typo fixes (used non transparent gif by accident) (#5354) @timja
📦 Dependency updates
Bump sshd-core to 2.6.0 and update tests (#5206) @res0nance
All contributors: @basil, @daniel-beck, @jenkins-release-bot, @oleg-nenashev, @res0nance, @takashiharano and @timja"
181,See the changelog and upgrade guide,See the changelog and upgrade guide
182,"Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See https://jenkins.io/changelog/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🎉 Major features and improvements

Modernize build status and weather icons (#5065) @timja @josephbrueggen @fqueiruga

🚀 New features and improvements

Add Japanese translations for New Job screen (#5334) @takashiharano
Indicate in configuration which admin monitors are security-related (#5078) @daniel-beck

🐛 Bug fixes

Accept negative numbers in INPUT.number (#5341) @felfert
JENKINS-64931 - no need to synchronize on Queue as queue is using a Lock and this under certain conditions can generate a deadlock. look at the dump attached to the issue JENKINS-64931 - (#5305) @olamy
Be quiet if Queue.save gets ClosedByInterruptException (#5326) @jglick
JENKINS-65017 - Prevent bugs in form validation from messing up the entire page (#5333) @daniel-beck
JENKINS-64972 - Help-buttons are not working when they are at the top of draggable div (#5316) @benebsiny

All contributors: @MarkEWaite, @StefanSpieker, @basil, @benebsiny, @daniel-beck, @dependabot, @felfert, @jenkins-release-bot, @jglick, @olamy, @oleg-nenashev, @takashiharano and @timja","Disclaimer: This is an automatically generated changelog draft for Jenkins weekly releases. 
See link/ for the official changelogs.
For changelog.yaml drafts see GitHub action artifacts attached to release commits.
🎉 Major features and improvements
Modernize build status and weather icons (#5065) @timja @josephbrueggen @fqueiruga
🚀 New features and improvements
Add Japanese translations for New Job screen (#5334) @takashiharano
Indicate in configuration which admin monitors are security-related (#5078) @daniel-beck
🐛 Bug fixes
Accept negative numbers in INPUT.number (#5341) @felfert
JENKINS-64931 - no need to synchronize on Queue as queue is using a Lock and this under certain conditions can generate a deadlock. look at the dump attached to the issue JENKINS-64931 - (#5305) @olamy
Be quiet if Queue.save gets ClosedByInterruptException (#5326) @jglick
JENKINS-65017 - Prevent bugs in form validation from messing up the entire page (#5333) @daniel-beck
JENKINS-64972 - Help-buttons are not working when they are at the top of draggable div (#5316) @benebsiny
All contributors: @MarkEWaite, @StefanSpieker, @basil, @benebsiny, @daniel-beck, @dependabot, @felfert, @jenkins-release-bot, @jglick, @olamy, @oleg-nenashev, @takashiharano and @timja"
