Index,Release Note
12," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.1 
What's Changed
Changelog

Add more readme for integration tests by @mehulkar in https://github.com/vercel/turbo/pull/4515
Deprecate THASH. by @nathanhammond in https://github.com/vercel/turbo/pull/4526
oldGlobalHash can be named by @nathanhammond in https://github.com/vercel/turbo/pull/4528
feat(summary): add taskId to single package task by @tknickman in https://github.com/vercel/turbo/pull/4530
Document --summarize flag and include in Troubleshooting doc by @mehulkar in https://github.com/vercel/turbo/pull/4467
feat(examples): update READMEs for create-turbo by @tknickman in https://github.com/vercel/turbo/pull/4451
Documentation for Strict Environments by @mehulkar in https://github.com/vercel/turbo/pull/4490
chore(turborepo): Make rustls the default feature for turborepo-lib by @NicholasLYang in https://github.com/vercel/turbo/pull/4537
fix(turborepo): SCM tests and renaming by @NicholasLYang in https://github.com/vercel/turbo/pull/4462
Update data sent to vercel for runs by @mehulkar in https://github.com/vercel/turbo/pull/4495
Gather Run Summary even when tasks fail by @mehulkar in https://github.com/vercel/turbo/pull/4524
Update old testbed make target to fixture- for new fixtures layout by @gsoltis in https://github.com/vercel/turbo/pull/4538
Use both key and version when sorting lockfile entries by @mehulkar in https://github.com/vercel/turbo/pull/4541
Save task duration correctly by @mehulkar in https://github.com/vercel/turbo/pull/4540

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.0...v1.9.1"
13," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.0 
What's Changed
Changelog

Log the location of the summary file in the execution summary by @mehulkar in https://github.com/vercel/turbo/pull/4385
Remove unused params in real run functions by @mehulkar in https://github.com/vercel/turbo/pull/4402
Refactor Dry Run so that output is printed by Run Summaries by @mehulkar in https://github.com/vercel/turbo/pull/4403
Make Run Summaries work for Single Package repos by @mehulkar in https://github.com/vercel/turbo/pull/4387
Add cache state to task summaries on real runs (2nd try) by @mehulkar in https://github.com/vercel/turbo/pull/4393
Remove executionSummary from dry run json by @mehulkar in https://github.com/vercel/turbo/pull/4394
chore(deps): update dependency nodemon to v2.0.22 by @renovate in https://github.com/vercel/turbo/pull/4201
Account for canary versions in integration test for run summary by @mehulkar in https://github.com/vercel/turbo/pull/4413
fix: use signal handler in shim by @chris-olszewski in https://github.com/vercel/turbo/pull/4313
fix: delete libgit2 by @chris-olszewski in https://github.com/vercel/turbo/pull/4419
Make --summarize flag to work without a value by @mehulkar in https://github.com/vercel/turbo/pull/4375
Enable the summarize flag in help output by @mehulkar in https://github.com/vercel/turbo/pull/4418
fix: update example lockfiles by @chris-olszewski in https://github.com/vercel/turbo/pull/4321
feature(turborepo): -F as filter shorthand by @NicholasLYang in https://github.com/vercel/turbo/pull/4422
chore: removing signal forwarding test by @chris-olszewski in https://github.com/vercel/turbo/pull/4436
chore(deps): update yarn to v1.22.19 by @renovate in https://github.com/vercel/turbo/pull/4404
Polish the shape of the Run Summary JSON by @mehulkar in https://github.com/vercel/turbo/pull/4421
Add sub-package info to environment-variables.mdx by @ozum in https://github.com/vercel/turbo/pull/4406
feat(create-turbo): support examples by @tknickman in https://github.com/vercel/turbo/pull/4398
Add a debugging section in our docs by @mehulkar in https://github.com/vercel/turbo/pull/4423
chore(version): bump canary version by @tknickman in https://github.com/vercel/turbo/pull/4453
fix(lockfile): correct lockfile version by @tknickman in https://github.com/vercel/turbo/pull/4461
fix(deps): update dependency got to v11 [security] by @renovate in https://github.com/vercel/turbo/pull/4457
Fix typos in example tsconfig' readme by @FranciscoMoretti in https://github.com/vercel/turbo/pull/4486
chore: pipe through root package json to lockfile parsing by @chris-olszewski in https://github.com/vercel/turbo/pull/4437
chore: Remove release flag from turborepo-ffi build by @NicholasLYang in https://github.com/vercel/turbo/pull/4478
Strict Environment Handling by @nathanhammond in https://github.com/vercel/turbo/pull/4449
chore: update with-tailwind example by @Chia1104 in https://github.com/vercel/turbo/pull/4379
ci: Stop building Go code twice by @NicholasLYang in https://github.com/vercel/turbo/pull/4501
Remove unused constant by @mehulkar in https://github.com/vercel/turbo/pull/4502
Improve integration test setup by @mehulkar in https://github.com/vercel/turbo/pull/4512
fix(examples): with-rollup by @tknickman in https://github.com/vercel/turbo/pull/4514
Fix Missing packages key when there are no changes in a monorepo by @mehulkar in https://github.com/vercel/turbo/pull/4518
fix: use ordered data structure for npm lockfile by @chris-olszewski in https://github.com/vercel/turbo/pull/4516

New Contributors

@ozum made their first contribution in https://github.com/vercel/turbo/pull/4406
@FranciscoMoretti made their first contribution in https://github.com/vercel/turbo/pull/4486
@Chia1104 made their first contribution in https://github.com/vercel/turbo/pull/4379
@cursecodes made their first contribution in https://github.com/vercel/turbo/pull/4427

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.8...v1.9.0"
14," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.0-canary.3 
What's Changed
Changelog

chore: update with-tailwind example by @Chia1104 in https://github.com/vercel/turbo/pull/4379
ci: Stop building Go code twice by @NicholasLYang in https://github.com/vercel/turbo/pull/4501
Remove unused constant by @mehulkar in https://github.com/vercel/turbo/pull/4502
Improve integration test setup by @mehulkar in https://github.com/vercel/turbo/pull/4512
fix(examples): with-rollup by @tknickman in https://github.com/vercel/turbo/pull/4514
Fix Missing packages key when there are no changes in a monorepo by @mehulkar in https://github.com/vercel/turbo/pull/4518

New Contributors

@Chia1104 made their first contribution in https://github.com/vercel/turbo/pull/4379
@cursecodes made their first contribution in https://github.com/vercel/turbo/pull/4427

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.0-canary.2...v1.9.0-canary.3"
15," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.0-canary.2 
What's Changed
Changelog

fix(deps): update dependency got to v11 [security] by @renovate in https://github.com/vercel/turbo/pull/4457
Fix typos in example tsconfig' readme by @FranciscoMoretti in https://github.com/vercel/turbo/pull/4486
chore: pipe through root package json to lockfile parsing by @chris-olszewski in https://github.com/vercel/turbo/pull/4437
chore: Remove release flag from turborepo-ffi build by @NicholasLYang in https://github.com/vercel/turbo/pull/4478
Strict Environment Handling by @nathanhammond in https://github.com/vercel/turbo/pull/4449
chore: update with-tailwind example by @Chia1104 in https://github.com/vercel/turbo/pull/4379

New Contributors

@FranciscoMoretti made their first contribution in https://github.com/vercel/turbo/pull/4486
@Chia1104 made their first contribution in https://github.com/vercel/turbo/pull/4379

Full Changelog: https://github.com/vercel/turbo/compare/v1.9.0-canary.1...v1.9.0-canary.2"
16," Release notes generated using configuration in .github/turborepo-release.yml at v1.9.0-canary.1 
What's Changed
Changelog

Add sub-package info to environment-variables.mdx by @ozum in https://github.com/vercel/turbo/pull/4406
feat(create-turbo): support examples by @tknickman in https://github.com/vercel/turbo/pull/4398
Add a debugging section in our docs by @mehulkar in https://github.com/vercel/turbo/pull/4423
chore(version): bump canary version by @tknickman in https://github.com/vercel/turbo/pull/4453
fix(lockfile): correct lockfile version by @tknickman in https://github.com/vercel/turbo/pull/4461

New Contributors

@ozum made their first contribution in https://github.com/vercel/turbo/pull/4406

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.9-canary.1...v1.9.0-canary.1"
17," Release notes generated using configuration in .github/turborepo-release.yml at v1.8.9-canary.1 
What's Changed
Changelog

Account for canary versions in integration test for run summary by @mehulkar in https://github.com/vercel/turbo/pull/4413
fix: use signal handler in shim by @chris-olszewski in https://github.com/vercel/turbo/pull/4313
fix: delete libgit2 by @chris-olszewski in https://github.com/vercel/turbo/pull/4419
Make --summarize flag to work without a value by @mehulkar in https://github.com/vercel/turbo/pull/4375
Enable the summarize flag in help output by @mehulkar in https://github.com/vercel/turbo/pull/4418
fix: update example lockfiles by @chris-olszewski in https://github.com/vercel/turbo/pull/4321
feature(turborepo): -F as filter shorthand by @NicholasLYang in https://github.com/vercel/turbo/pull/4422
chore: removing signal forwarding test by @chris-olszewski in https://github.com/vercel/turbo/pull/4436
chore(deps): update yarn to v1.22.19 by @renovate in https://github.com/vercel/turbo/pull/4404
Polish the shape of the Run Summary JSON by @mehulkar in https://github.com/vercel/turbo/pull/4421

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.9-canary.0...v1.8.9-canary.1"
18," Release notes generated using configuration in .github/turborepo-release.yml at v1.8.9-canary.0 
What's Changed
Changelog

Log the location of the summary file in the execution summary by @mehulkar in https://github.com/vercel/turbo/pull/4385
Remove unused params in real run functions by @mehulkar in https://github.com/vercel/turbo/pull/4402
Refactor Dry Run so that output is printed by Run Summaries by @mehulkar in https://github.com/vercel/turbo/pull/4403
Make Run Summaries work for Single Package repos by @mehulkar in https://github.com/vercel/turbo/pull/4387
Add cache state to task summaries on real runs (2nd try) by @mehulkar in https://github.com/vercel/turbo/pull/4393
Remove executionSummary from dry run json by @mehulkar in https://github.com/vercel/turbo/pull/4394
chore(deps): update dependency nodemon to v2.0.22 by @renovate in https://github.com/vercel/turbo/pull/4201

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.8...v1.8.9-canary.0"
19," Release notes generated using configuration in .github/turborepo-release.yml at v1.8.8 
What's Changed
Changelog

feat(place patches in json folder when pruning for docker) by @chris-olszewski in https://github.com/vercel/turbo/pull/4318
chore(deps): update dependency tsx to v3.12.6 by @renovate in https://github.com/vercel/turbo/pull/4328
Make attempted include tasks that started but didn't finish by @mehulkar in https://github.com/vercel/turbo/pull/4378
Revert ""Add cache state to task summaries on real runs"" by @tknickman in https://github.com/vercel/turbo/pull/4390

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.7...v1.8.8"
20," Release notes generated using configuration in .github/turborepo-release.yml at v1.8.7 
What's Changed
Changelog

Add cache state to task summaries on real runs by @mehulkar in https://github.com/vercel/turbo/pull/4225
Update Done payload for Vercel Runs by @mehulkar in https://github.com/vercel/turbo/pull/4371
move env var handling into rust and expose summarize env as a command by @arlyon in https://github.com/vercel/turbo/pull/4364

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.6...v1.8.7"
21," Release notes generated using configuration in .github/turborepo-release.yml at v1.8.7-canary.1 
What's Changed

fix: correctly deserialize npm packages in lockfile by @chris-olszewski in https://github.com/vercel/turbo/pull/4370
release(turborepo): 1.8.7-canary.0 by @github-actions in https://github.com/vercel/turbo/pull/4372

Full Changelog: https://github.com/vercel/turbo/compare/v1.8.7-canary.0...v1.8.7-canary.1"
