Index,Release Note
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75," Release notes generated using configuration in .github/release.yml at v1.7.5-canary.0 
What's Changed
Changelog

fix: Use go implementation when no build tags present by @chris-olszewski in https://github.com/vercel/turbo/pull/3678
Avoid filename conflict by @sokra in https://github.com/vercel/turbo/pull/3673
fix: remove turborepo binary dependency on ffi by @chris-olszewski in https://github.com/vercel/turbo/pull/3683
chore: add local and global versions in debug by @chris-olszewski in https://github.com/vercel/turbo/pull/3661
refactor ResolveResult to allow mixing special and assets in alternatives by @sokra in https://github.com/vercel/turbo/pull/3675
docs: add package.json and turbo.json to a pruned directory example by @m-shaka in https://github.com/vercel/turbo/pull/3666
release(turborepo): 1.7.4 by @github-actions in https://github.com/vercel/turbo/pull/3688
test(turborepo): Login by @NicholasLYang in https://github.com/vercel/turbo/pull/3663
Add a page about installing turbo, including both global and repo-local by @gsoltis in https://github.com/vercel/turbo/pull/3686
fix: update verbosity integration tests by @chris-olszewski in https://github.com/vercel/turbo/pull/3699
Revert protoc version and stop building ffi on make by @mehulkar in https://github.com/vercel/turbo/pull/3705
Re-add ffi-install step during make by @mehulkar in https://github.com/vercel/turbo/pull/3708
Check in Go file generated from protobuf by @gsoltis in https://github.com/vercel/turbo/pull/3710
feat(docs): update verbosity reference by @tknickman in https://github.com/vercel/turbo/pull/3740
feat(cli): reccomend codemod in updater by @tknickman in https://github.com/vercel/turbo/pull/3743
fix(turbo): improved yarn berry pnp support (#3744 by @tknickman in https://github.com/vercel/turbo/pull/3744

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.4...v1.7.5-canary.0"
76,"What's Changed

publish 1.7.4 to registry by @Turbobot
chore: add local and global versions in debug (#3661) by @chris-olszewski
chore(repo): add new labeler (#3684) by @tknickman
fix: remove turborepo binary dependency on ffi (#3683) by @chris-olszewski
fix: Use go implementation when no build tags present (#3678) by @chris-olszewski
Next.js integration ci: fall back to false for force_post_to_slack (#3674) by @wbinnssmith
Export __N_SSG and __N_SSP from the error component (#3574) by @alexkirsz
add missing workspace members and default members (#3668) by @sokra
ci(workflow): fix summary count error (#3628) by @kwonoj
docs: Update casing from Webpack to webpack (#3655) by @wbinnssmith
fix: No longer error on pnpm lockfile specifier mismatch (#3656) by @chris-olszewski
fix: turbo login on Windows (#3664) by @chris-olszewski
fix: remove quotes around extension in makefile (#3662) by @chris-olszewski
Import Next's CJS AsyncLocalStorage modules (#3634) by @jridgewell
ci(workflow): use release build of next-dev for integration test (#3650) by @kwonoj
docs: Increase sidebar text contrast in dark mode (#3625) by @wbinnssmith
Add force_post_to_slack to repository dispatch (#3649) by @wbinnssmith
exlcude turborepo-ffi in turbopack build (#3654) by @sokra
split tests into two steps, report ok and done separately (#3646) by @sokra
examples/basic is using PNPM, not Yarn (#3488) by @ImBIOS
Update minor tailwind example issues. (#3642) by @nathanhammond
add first version of rgr sandwich (#3306) by @arlyon
[docs] Fix typo: pipline => pipeline (#3635) by @dtinth
Load TaskDefinitions lazily when building taskGraph (#3562) by @mehulkar
Send Next.js Integration test results to Slack (#3591) by @wbinnssmith
Hoist DryRunSummary fields to PackageTask (#3615) by @mehulkar
release(turborepo): 1.7.3 (#3627) by @github-actions[bot]
add helper for walking a tree concurrently and deterministic (#3619) by @sokra

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.3...v1.7.4"
77,"What's Changed

publish 1.7.3 to registry by @Turbobot
fix: SSO Login (#3626) by @NicholasLYang
feat: Use lockfiles when determining what packages changed across commits (#3250) by @chris-olszewski
fix: mismatched pnpm lockfile version resolution (#3611) by @chris-olszewski
initial work for compile-time evaluation (#3495) by @sokra
Update swc_core to v0.59.11 (#3484) by @kdy1
ci(actions): adjust test summary format (#3588) by @kwonoj
fix(cli): prefer constant over name (#3608) by @tknickman
needs this -- to actually pass the flag (#3487) by @phocks
fix(docs): update turbo.json highlighting in docs (#3609) by @tknickman
release(turborepo): 1.7.3-canary.1 (#3606) by @github-actions[bot]
fix(cli): ci detection (#3605) by @tknickman
Capture engine/run unit tests with prysk (#3592) by @mehulkar
chore: Removed Cargo.lock from CI for PRs (#3558) by @NicholasLYang
update next.js to 13.1.7-canary.2 (#3595) by @sokra
test(turborepo): Test link (#3556) by @NicholasLYang
release(turborepo): 1.7.3-canary.0 (#3603) by @github-actions[bot]
Share request resolving logic between http and update servers (#3597) by @alexkirsz
add rust_prepare to Ok requirements (#3599) by @sokra
fix: bring back tty into ci detection (#3589) by @chris-olszewski
fix: pnpm prune misses git dependency (#3517) by @chris-olszewski
feat(cli): support ci header (#3586) by @tknickman
Remove unused code (#3579) by @mehulkar
Move persistent deps tests to prysk (#3566) by @mehulkar
fix(use correct serialization logic for turbo.json) (#3580) by @chris-olszewski
Configure label to auto-update PRs with Kodiak (#3577) by @mehulkar
ci(actions): skip unparseable tree (#3584) by @kwonoj
release(turborepo): 1.7.2 (#3583) by @github-actions[bot]
chore(deps): update dependency prettier to v2.8.3 (#3424) by @renovate[bot]
ci(workflow): fix version trim for test results data (#3581) by @kwonoj
fix cache cleanup (#3546) by @ForsakenHarmony
Bump cli dependency (#3563) by @gsoltis

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.2...v1.7.3"
78,"What's Changed

publish 1.7.2 to registry by @Turbobot
ci(workflow): store plain text test summary (#3567) by @kwonoj
fix: Use rustls-tls feature (#3578) by @NicholasLYang
Document global turbo package inference behavior (#3535) by @gsoltis
docs: add quotes to directory filter with glob (#3554) by @chris-olszewski
fix: update rust test references (#3565) by @chris-olszewski
Move helpers for getting task ancestors/descendants to engine (#3555) by @mehulkar
style(prettier): apply prettier (#3575) by @kwonoj
ci(renovate): trying to enable swc_* updates (#3572) by @kwonoj
feat(example): tailwind improvement and treeshaking (#3557) by @tknickman
ci(workflow): format integration test results (#3534) by @kwonoj
release(turborepo): 1.7.1 (#3560) by @github-actions[bot]

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.1...v1.7.2"
79,"What's Changed

publish 1.7.1 to registry by @Turbobot
port(turbo): Link (#3500) by @NicholasLYang
chore: Split up turbopack and turborepo workflows (#3523) by @NicholasLYang
css modules: use a terser selector format that requires less escaping (#3437) by @wbinnssmith
Note that path globs must be relative (#3536) by @gsoltis
release(turborepo): 1.7.1-canary.8 (#3553) by @github-actions[bot]
Handle empty path specification (#3538) by @gsoltis
chore: add snapshot test for graph output (#3539) by @chris-olszewski
fix(turborepo): Add TLS Crate Feature (#3548) by @NicholasLYang
fix(ci): require go integration (#3519) by @tknickman
feat(blog): add alexanderlyon (#3544) by @tknickman
feat(ci): published smoke tests (#3529) by @tknickman
fix: pnpm prune misses root dependency (#3483) by @chris-olszewski
ci(workflow): upload integration test resuls from main branch, next.j… …s release (#3502) by @kwonoj
Doc for environment variables. (#3527) by @anthonyshew
Move E2E tests to main test.yml workflow (#3442) by @mehulkar
Allow manual workflow dispatch and send a basic message through Slack (#3524) by @wbinnssmith
Fix test asserting verbose log output (#3520) by @mehulkar
filter out invalid Pipelines from TurboJSON when running turbo prune (#3216) by @arlyon
feature(turborepo): Port login without sso team (#3372) by @NicholasLYang
Fix prettier for examples (#3508) by @alexkirsz
clean branch caches less often (#3509) by @ForsakenHarmony
[FIX]: VSCode ""Parsing error: Cannot find module 'next/babel"" PNPM ESLint (#3489) by @ImBIOS
fix(shim): better error message for missing go bin (#3498) by @tknickman
Review fixes for Next routing (#3501) by @jridgewell
fix(turborepo): Add .npmrc support to turbo prune (#3492) by @Kuirak
fix: Skip over repo root package for package inferrence (#3503) by @chris-olszewski
Handle routing by calling Next.js code (#3446) by @jridgewell
ci(workflow): fix integration job log detection (#3481) by @kwonoj
Revert ""ci: test publish dry run"" by @arlyon
ci: test publish dry run by @arlyon
fix(examples) tailwind - ignore ui dist/ (#3494) by @ImBIOS
chore(ci): update release branch dep (#3486) by @tknickman
better action cleanup (#3332) by @ForsakenHarmony
add edge compilation, runtime config parsing and edge apis (#3396) by @sokra
release(turborepo): 1.7.1-canary.7 (#3485) by @github-actions[bot]
fix(codemod): correct to flag validation (#3478) by @tknickman
fix: Support pnpm lockfile keys in dependencies (#3461) by @chris-olszewski
changesets action: add pnpm install (#3482) by @colbyfayock
fix(shim): use custom version parser (#3474) by @tknickman
changesets action: yarn -> pnpm (#3477) by @anthonyshew
fix(turborepo): fix create branch workflow (#3471) by @tknickman
Use mdxjs upstream at 0.1.5 (#3473) by @wbinnssmith
Added an example with rollup (#1867) by @mattpocock
port(turborepo): Ported CommandBase from Go (#3459) by @NicholasLYang
Documentation for Remote Caching in Docker builds. (#3080) by @anthonyshew
partially support next metadata (#3464) by @sokra
ci(workflow): run next.js integration test with new release (#3468) by @kwonoj
ci(workflow): reusable next.js integration test (#3460) by @kwonoj
move clippy to separate action and remove cache (#3311) by @ForsakenHarmony
ci(workflow): setup a new workflow for next.js repo_dispatch (#3441) by @kwonoj
fix: use the correct value in termsize tuple (#3458) by @chris-olszewski
Fixed prisma example to allow importing interfaces from database (#2710) by @mattpocock
don't run cargo fmt --all in pre-commit hook (#3403) by @wbinnssmith
publish 1.7.1-canary.6 to registry (#3457) by @tknickman
Fix data requests for dynamic routes (#3435) by @alexkirsz
fix(release): use turbo to build packages (#3454) by @tknickman
feat(release): auto create release PR (#3453) by @tknickman
chore: Port configuration files to Rust (#3440) by @chris-olszewski
fix(release): build turbo-ignore (#3452) by @tknickman
Fixed printing of FULL TURBO on macOS terminal (#3096) by @NicholasLYang
Remove empty outputs config from turbo.json (#3443) by @mehulkar
Store TaskDefinitions in the Graph by Task ID (#3428) by @mehulkar
Refactor task dependencies retrieval to support composable configs (#3410) by @mehulkar
feat: add support for pnpm v6 lockfiles (#3352) by @chris-olszewski
publish 1.7.1-canary.5 to registry (#3444) by @tknickman
Implementing package inference (#2112) by @gsoltis
fix(prune) pnpm patch name incorrectness (#3176) by @chris-olszewski
chore(turbo-ignore): update release flow (#3421) by @tknickman
fix(examples): correct tailwind editor support (#3438) by @tknickman
chore(examples): update with-docker lock (#3436) by @tknickman
feat(turbo-test-utils): share internal test utils (#3418) by @tknickman
Move Go Integration tests into main test Github workflow (#3429) by @mehulkar
Rename TopologicGraph to WorkspaceGraph (#3411) by @mehulkar
Fix deprecated turbo.json in E2E tests (#3430) by @mehulkar
ci(actions): report failed --turbo next.js tests (#3350) by @kwonoj
ci(actions): ensure cargo check with frozen lockfile (#3391) by @sokra
Refactor Task Definition retrieval to support composable configs(#3405) by @mehulkar
feat(codemod): use transform as default command (#3408) by @tknickman
publish 1.7.1-canary.4 to registry (#3407) by @tknickman
chore(docs): use tabular-nums for counter (#3404) by @tknickman
fix(docs): use correct enterprise link in footer (#3406) by @tknickman
feat(release): cleanup release docs & workflows (#3290) by @tknickman
publish 1.7.1-canary.3 to registry (#3402) by @tknickman
Update mdxjs and testing crates (#3398) by @jridgewell
publish 1.7.1-canary.2 to registry (#3395) by @tknickman
feat(codemod): turbo migrate (#3367) by @tknickman
Introduce next-dev-tests to rebuild automatically on test input changes (#3288) by @kdy1
add garbage collection (#3094) by @sokra
Anthony changed his Twitter handle! (#3383) by @anthonyshew
Revert ""ci(actions): ensure cargo check with frozen lockfile"" (#3390) by @sokra
Factor out method to get resolved TaskDefinition (#3378) by @mehulkar
ci(actions): ensure cargo check with frozen lockfile (#3388) by @kwonoj
Print resolvedTaskDefinition in DryRun (#3377) by @mehulkar
Fix test fixture for duplicate-names test (#3376) by @mehulkar
fix: update cargo lockfile (#3387) by @chris-olszewski
Basic @next/font/google integration test (#3170) by @wbinnssmith
add full next.js config (#3343) by @ForsakenHarmony
Update link hash in blog post (#3384) by @anthonyshew
chore: switch turbo updater to use console for coloring (#3371) by @chris-olszewski
Remove unused param from getTaskDefinition (#3379) by @mehulkar
Fix community contributor's name. (#3316) by @anthonyshew
chore(deps): update dependency @babel/core to v7.20.12 (#3337) by @renovate[bot]
Install AsyncLocalStorage for appDir rendering (#3374) by @jridgewell
Factor out ReadTurboConfig method (#3368) by @mehulkar
Unused packages. (#3358) by @nathanhammond
fix(docs): small typo in caching doc (#3365) by @walkerdb
chore: Port logout to be pure Rust (#3302) by @chris-olszewski
Update swc_core to v0.56.0 (#3303) by @kdy1
Cover gitignored env files in docs and examples (#3270) by @mehulkar
add sweep timestamp to gitignore by @ForsakenHarmony
fix(docs): remove empty array instruction (#3351) by @tknickman
Recommend cram extension in dev environment (#3349) by @mehulkar
fix(turborepo): Passing a relative path to --cwd when using --skip-infer. (#3348) by @NicholasLYang
publish 1.7.1-canary.1 to registry (#3341) by @tknickman
add cargo-sweep action (#3265) by @ForsakenHarmony
fix(docs): remove old image link (#3330) by @tknickman
Update images with Acme organization. (#3274) by @anthonyshew
test(integration): update next.js to latest (#3055) by @kwonoj
Fix name of command in blog post (#3315) by @anthonyshew
Add build script and update instructions to test locally (#3300) by @mehulkar
Fix tasks.json for Prettier (#3305) by @alexkirsz
Apply the next/dynamic SWC transform  (#3184) by @alexkirsz
Do not submit a default --output-logs argument from Rust (#3299) by @mehulkar
fix(examples): ignore node_modules in docker (#3301) by @tknickman
chore(editor): do not display successful auto task terminal output (#3013) by @kwonoj
add basic webpack loader support (#3284) by @sokra
fix(docs): corect blog typo (#3296) by @tknickman
fix(docs): update yarn install command (#3287) by @tknickman
chore(docs): update 1.7 OG image (#3295) by @tknickman
publish 1.7.1-canary.0 to registry (#3293) by @tknickman
Add support for dynamic import()s on the server-side (#3193) by @alexkirsz
only try to push benchmark data (#3289) by @sokra
fix: use error logger in Rust turborepo (#3253) by @chris-olszewski
fix(turborepo): typos (#3285) by @paleite
One pixel transparent border to reveal background. (#3279) by @nathanhammond
feat(docs): 1.7 blog post (#3264) by @tknickman
nextest: time out leaky check after 500ms (#3277) by @wbinnssmith
ignore .env file and .vercel directory (#2847) by @oddnavy
Make pre-commit hoook executable (#3275) by @mehulkar
feat(docs): add remote cache counter (#3271) by @tknickman
Refactor Summary structs for more flexible use (#2792) by @mehulkar
feat(docs): update output-logs options (#3266) by @tknickman
add necessary permissions to commit step again (#3258) by @sokra
Moved docs to global turbo installation (#2701) by @mattpocock
Update examples with features from 1.7 release (#2738) by @mehulkar
Document persistent key (#2669) by @mehulkar
Update docs on default outputs (#2713) by @mehulkar
publish 1.7.0 to registry (#3251) by @tknickman
remove muzzammil.xyz/jsonc package in favour of more stable github url (#3213) by @arlyon

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.0...v1.7.1"
80,"What's Changed

remove muzzammil.xyz/jsonc package in favour of more stable github url (#3213) by @arlyon in https://github.com/vercel/turbo/pull/3213
publish 1.7.0 to registry (#3251) by @tknickman in https://github.com/vercel/turbo/pull/3251
Update docs on default outputs (#2713) by @mehulkar in https://github.com/vercel/turbo/pull/2713
Document persistent key (#2669) by @mehulkar in https://github.com/vercel/turbo/pull/2669
Update examples with features from 1.7 release (#2738) by @mehulkar in https://github.com/vercel/turbo/pull/2738
Moved docs to global turbo installation (#2701) by @mattpocock in https://github.com/vercel/turbo/pull/2701
add necessary permissions to commit step again (#3258) by @sokra in https://github.com/vercel/turbo/pull/3258
feat(docs): update output-logs options (#3266) by @tknickman in https://github.com/vercel/turbo/pull/3266
Refactor Summary structs for more flexible use (#2792) by @mehulkar in https://github.com/vercel/turbo/pull/2792
feat(docs): add remote cache counter (#3271) by @tknickman in https://github.com/vercel/turbo/pull/3271
Make pre-commit hoook executable (#3275) by @mehulkar in https://github.com/vercel/turbo/pull/3275
ignore .env file and .vercel directory (#2847) by @oddnavy in https://github.com/vercel/turbo/pull/2847
nextest: time out leaky check after 500ms (#3277) by @wbinnssmith in https://github.com/vercel/turbo/pull/3277
feat(docs): 1.7 blog post (#3264) by @tknickman in https://github.com/vercel/turbo/pull/3264
One pixel transparent border to reveal background. (#3279) by @nathanhammond in https://github.com/vercel/turbo/pull/3279
fix(turborepo): typos (#3285) by @paleite in https://github.com/vercel/turbo/pull/3285
fix: use error logger in Rust turborepo (#3253) by @chris-olszewski in https://github.com/vercel/turbo/pull/3253
publish 1.7.1-canary.0 to registry by @Turbobot in https://github.com/vercel/turbo/pull/3293

Full Changelog: https://github.com/vercel/turbo/compare/v1.7.0...v1.7.1-canary.0"
